ticker,bought,buy,stop,risk%,ext_vs_SMA%,pos%,exit,exit_px,why,held_wk,R,gap_through,giveback,crash,GAP
PRSMJOHNSN,2024-09-16,214.5,172.0,19.8,25.0,10.0,2024-12-16,194.3,time,13,-0.47,False,False,False,late/extended-entry
LAXMIMACH,2024-09-30,17887.5,15573.7,12.9,16.7,15.0,2024-11-18,15204.1,stop,7,-1.16,True,False,True,late/extended-entry
RALLIS,2024-10-21,351.0,304.1,13.4,22.0,15.0,2024-11-18,302.8,stop,4,-1.03,True,False,True,late/extended-entry
UNOMINDA,2024-11-18,991.5,911.9,8.0,10.9,25.0,2025-01-27,887.5,stop,10,-1.31,True,False,False,gap-through-stop
GODREJAGRO,2024-11-18,718.0,680.0,5.3,11.7,38.0,2025-02-17,693.8,time,13,-0.64,False,False,False,time-cap-bleed
FACT,2024-12-04,1011.6,829.7,18.0,19.2,11.0,2025-02-17,729.7,stop,11,-1.55,True,False,False,late/extended-entry
CHALET,2024-12-16,1006.4,889.7,11.6,19.1,17.0,2025-01-20,826.1,stop,5,-1.54,True,False,False,late/extended-entry
RPOWER,2025-01-20,42.4,36.5,13.9,22.1,14.0,2025-03-03,33.5,stop,6,-1.51,True,False,False,late/extended-entry
ZENSARTECH,2025-01-27,816.1,705.3,13.6,15.1,15.0,2025-03-17,644.3,stop,7,-1.55,True,False,False,late/extended-entry
JUBLFOOD,2025-02-03,733.7,633.1,13.7,21.6,15.0,2025-03-03,625.9,stop,4,-1.07,True,False,False,late/extended-entry
COHANCE,2025-02-24,1221.1,1078.0,11.7,17.4,17.0,2025-05-12,1077.8,stop,11,-1.0,True,False,False,late/extended-entry
PTCIL,2025-05-26,15423.0,13780.0,10.7,15.2,19.0,2025-08-18,13731.0,stop,12,-1.03,True,False,False,late/extended-entry
SUZLON,2025-06-02,72.2,62.7,13.1,13.1,15.0,2025-08-18,61.5,stop,11,-1.13,True,False,False,late/extended-entry
WELCORP,2025-06-02,922.0,751.8,18.5,22.0,11.0,2025-09-01,834.2,time,13,-0.52,False,False,False,late/extended-entry
CDSL,2025-06-09,1771.6,1518.7,14.3,22.8,14.0,2025-08-04,1468.0,stop,8,-1.2,True,False,False,late/extended-entry
NUVAMA,2025-06-30,1643.9,1335.6,18.8,31.2,11.0,2025-08-11,1343.9,stop,6,-0.97,False,False,False,late/extended-entry
ABBOTINDIA,2025-08-18,33495.0,31910.0,4.7,12.0,42.0,2025-08-25,32145.0,stop,1,-0.85,False,False,False,fast-reversal
BDL,2025-08-18,1595.7,1451.3,9.0,14.5,22.0,2025-09-01,1434.3,stop,2,-1.12,True,False,False,late/extended-entry
BSE,2025-09-08,2329.0,2107.6,9.5,12.5,21.0,2025-09-29,2055.0,stop,3,-1.24,True,False,False,late/extended-entry
WELCORP,2025-11-03,966.8,835.7,13.6,15.6,15.0,2025-12-08,826.2,stop,5,-1.07,True,False,False,late/extended-entry
UPL,2025-11-03,720.1,672.7,6.6,10.5,30.0,2026-02-02,669.2,time,13,-1.07,False,False,False,time-cap-bleed
RRKABEL,2026-03-02,1521.2,1426.4,6.2,12.6,32.0,2026-03-16,1335.7,stop,2,-1.96,True,False,False,late/extended-entry
TIMKEN,2026-03-16,3475.1,3234.0,6.9,11.8,29.0,2026-03-23,3140.0,stop,1,-1.39,True,False,False,gap-through-stop
M&MFIN,2026-06-29,328.6,288.7,12.1,1.0,16.0,2026-06-29,315.4,eos,0,-0.33,False,False,False,other
