ticker,signal_date,entry_date,exit_date,why,close_sig,st_line,ema200,pivot,atr14,entry_px,stop_px,target_px,exit_px,R,mfe_R,mae_R,held_d,stop_pct,gap_flag,pnl
IPCALAB,2019-09-12,2019-09-13,2019-10-01,stop,461.96,,430.97,461.03,14.12,460.23,433.72,513.24,433.72,-1.0,1.13,-1.05,12,5.8,False,-6371.0
MERCK,2019-09-20,2019-09-23,2019-10-07,stop,3831.96,,3002.98,3797.94,162.65,3878.11,3506.66,4621.02,3506.66,-1.0,0.07,-1.14,9,9.6,False,-10882.0
ATUL,2019-09-12,2019-09-13,2019-10-17,target,3660.11,,3453.33,3644.41,89.92,3694.91,3480.26,4124.19,4124.19,2.0,2.0,-0.59,22,5.8,False,11313.0
ICICIGI,2019-07-29,2019-07-30,2019-10-23,target,1123.07,,947.96,1103.04,38.33,1119.25,1046.42,1264.91,1264.91,2.0,2.18,-0.91,54,6.5,False,12670.0
ADANIENSOL,2019-10-04,2019-10-07,2019-10-23,target,226.55,,215.35,222.38,8.81,229.0,208.93,269.14,269.14,2.0,2.16,-0.45,10,8.8,False,17965.0
HEXAWARE,2019-10-16,2019-10-17,2019-10-24,stop,376.05,,365.44,375.03,11.39,376.0,353.27,421.45,353.27,-1.0,0.24,-1.52,4,6.0,False,-6861.0
MFSL,2019-10-22,2019-10-23,2019-10-25,stop,435.1,,423.69,418.1,16.02,432.0,403.06,489.88,403.06,-1.0,0.0,-1.05,2,6.7,False,-7817.0
TIMKEN,2019-05-22,2019-05-23,2019-10-31,target,629.76,,559.6,539.46,22.18,656.49,585.39,798.68,798.68,2.0,2.63,-0.97,107,10.8,False,21788.0
GUJGASLTD,2019-10-22,2019-10-23,2019-10-31,target,173.27,,155.31,170.05,5.44,173.75,162.39,196.47,196.47,2.0,2.08,-0.48,6,6.5,False,13654.0
VBL,2019-09-13,2019-09-16,2019-11-06,target,54.8,,50.67,53.02,2.25,54.73,50.31,63.58,63.58,2.0,3.1,-0.74,34,8.1,False,16077.0
JSWENERGY,2019-10-30,2019-10-31,2019-11-07,target,64.19,,63.59,63.85,2.14,64.29,59.91,73.05,73.05,2.0,2.5,0.0,5,6.8,False,14372.0
IDFCFIRSTB,2019-10-31,2019-11-01,2019-11-14,stop,44.5,,43.1,41.25,1.67,44.4,41.17,50.87,40.87,-1.094,0.17,-1.12,8,7.3,True,-9382.0
SUNDARMFIN,2019-11-06,2019-11-07,2019-11-15,target,1510.46,,1460.27,1500.96,29.23,1506.11,1452.0,1614.34,1614.34,2.0,2.32,-0.48,5,3.6,False,7439.0
GREAVESCOT,2019-09-19,2019-09-20,2019-12-09,stop,132.68,,128.16,132.34,4.95,134.58,122.79,158.15,122.79,-1.0,1.3,-1.06,52,8.8,False,-9668.0
POLYMED,2019-11-14,2019-11-15,2019-12-09,stop,216.25,,197.84,213.29,10.03,218.02,196.19,261.69,196.19,-1.0,0.14,-1.27,16,10.0,False,-11571.0
APOLLOHOSP,2019-10-30,2019-10-31,2019-12-10,stop,1438.13,,1305.34,1412.69,42.88,1447.03,1352.37,1636.35,1352.37,-1.0,0.41,-1.07,27,6.5,False,-7709.0
INDHOTEL,2019-11-13,2019-11-14,2019-12-10,stop,147.56,,136.94,142.26,4.65,148.42,138.26,168.74,138.26,-1.0,0.1,-1.05,18,6.8,False,-8108.0
AIAENG,2019-11-05,2019-11-06,2019-12-20,stop,1655.99,,1619.17,1635.57,56.58,1679.16,1542.83,1951.83,1542.83,-1.0,0.0,-1.01,31,8.1,False,-9643.0
PHOENIXLTD,2019-08-27,2019-08-28,2019-12-26,target,343.83,,308.63,320.47,13.95,344.55,315.92,401.79,401.79,2.0,2.11,-0.9,79,8.3,False,16460.0
BALRAMCHIN,2019-09-16,2019-09-17,2019-12-27,target,140.61,,121.25,139.16,7.28,140.61,126.05,169.73,169.73,2.0,2.45,-0.51,68,10.4,False,21180.0
BEML,2019-12-09,2019-12-10,2020-01-06,stop,414.52,,363.51,403.85,16.05,414.88,382.42,479.82,382.42,-1.0,0.0,-1.01,18,7.8,False,-9283.0
BALMLAWRIE,2019-12-24,2019-12-26,2020-01-06,stop,95.46,,88.51,94.73,2.46,94.61,90.54,102.74,90.54,-1.0,0.4,-1.18,7,4.3,False,-5347.0
ITI,2019-12-19,2019-12-20,2020-01-07,target,94.6,,87.01,90.48,4.01,93.35,86.57,106.91,106.91,2.0,2.07,-0.4,11,7.3,False,15502.0
SHREECEM,2019-10-22,2019-10-23,2020-01-08,target,19033.71,,18371.43,18667.79,658.26,19145.09,17717.19,22000.88,22000.88,2.0,2.09,-0.18,53,7.5,False,15651.0
METROPOLIS,2019-12-26,2019-12-27,2020-01-08,target,337.28,,286.54,336.96,10.97,332.11,315.34,365.65,365.65,2.0,2.37,-0.32,8,5.1,False,10684.0
SUDARSCHEM,2019-12-09,2019-12-10,2020-01-09,target,383.02,,340.07,377.55,12.93,385.26,357.16,441.46,441.46,2.0,2.02,-0.57,21,7.3,False,15704.0
PFC,2020-01-07,2020-01-08,2020-01-10,target,59.1,,55.73,57.7,1.78,57.66,55.55,61.9,61.9,2.0,2.08,0.0,2,3.7,False,7768.0
POLYMED,2019-12-26,2019-12-27,2020-01-13,target,207.35,,199.9,207.2,8.63,204.16,190.1,232.27,232.27,2.0,3.16,-0.16,11,6.9,False,14769.0
LUXIND,2020-01-07,2020-01-08,2020-01-14,target,1297.78,,1250.41,1296.93,48.1,1286.77,1201.57,1457.15,1457.15,2.0,2.19,0.0,4,6.6,False,14474.0
TORNTPHARM,2019-10-24,2019-10-25,2020-01-17,target,808.55,,758.35,770.33,26.8,808.55,754.94,915.76,915.76,2.0,2.22,-0.67,58,6.6,False,13765.0
BERGEPAINT,2019-12-06,2019-12-09,2020-01-20,target,405.09,,313.01,399.98,12.9,406.22,379.29,460.07,460.07,2.0,2.01,-0.59,29,6.6,False,14363.0
CANFINHOME,2019-09-20,2019-09-23,2020-01-22,target,368.14,,331.44,367.34,14.91,376.99,338.31,454.34,454.34,2.0,2.68,-0.69,82,10.3,False,21612.0
RECLTD,2020-01-07,2020-01-08,2020-01-22,stop,63.03,,60.86,62.36,1.65,62.3,59.73,67.43,59.73,-1.0,0.97,-1.64,10,4.1,False,-5247.0
GRANULES,2020-01-08,2020-01-09,2020-01-23,target,127.53,,107.73,124.13,4.27,129.63,118.98,150.93,150.93,2.0,2.63,-0.54,10,8.2,False,18271.0
AFFLE,2020-01-07,2020-01-08,2020-01-29,target,311.82,,231.88,306.7,12.63,305.14,286.56,342.31,342.31,2.0,2.25,-0.33,15,6.1,False,13268.0
ADVENZYMES,2020-01-16,2020-01-17,2020-01-29,stop,174.81,,160.32,167.42,6.04,175.95,162.73,202.38,162.4,-1.024,0.0,-1.02,8,7.5,True,-10087.0
INDIGO,2020-01-22,2020-01-23,2020-01-31,stop,1465.62,,1448.04,1445.29,39.39,1482.49,1386.84,1673.8,1386.84,-1.0,0.58,-1.19,6,6.5,False,-8544.0
UNITDSPR,2020-01-28,2020-01-29,2020-01-31,stop,642.24,,581.63,605.38,16.81,638.42,608.62,698.03,608.62,-1.0,0.0,-1.15,2,4.7,False,-6444.0
NAM-INDIA,2020-01-03,2020-01-06,2020-02-03,stop,292.2,,226.56,292.12,10.17,289.4,271.87,324.45,271.87,-1.0,1.08,-1.02,20,6.1,False,-7449.0
