tkr,sig_date,entry_date,entry,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
PFC,2023-03-03,2023-03-09,118.94,105.67,2.0,,,2023-03-20,105.67,stop,7,-1.0,False,-13622.26,223.81
KPITTECH,2023-03-15,2023-03-20,855.3,768.01,2.0,,,2023-04-03,768.01,stop,9,-1.0,False,-13016.38,234.21
RADICO,2023-01-27,2023-02-01,1126.34,1031.09,2.0,,,2023-04-12,1079.9,stall,46,-0.488,False,-7677.53,312.76
TRITURBINE,2023-02-27,2023-02-28,306.17,285.27,2.0,2023-03-01,347.96523930369176,2023-04-27,368.86,target3,37,2.5,False,29095.13,387.32
FINCABLES,2023-02-21,2023-02-24,703.71,645.61,2.0,2023-03-06,819.9034307891683,2023-04-28,878.0,target3,40,2.5,False,29878.08,331.81
RAYMOND,2023-04-24,2023-04-27,1620.69,1490.93,2.0,,,2023-05-22,1490.93,stop,16,-1.0,True,-12911.21,296.81
BHEL,2023-04-28,2023-05-04,86.4,76.94,2.0,,,2023-05-29,76.94,stop,17,-1.0,False,-13001.15,217.67
SUZLON,2023-05-26,2023-05-31,10.9,9.44,2.0,2023-06-07,13.818899236679076,2023-06-12,15.28,target3,8,2.5,False,32347.3,228.49
PFC,2023-04-06,2023-04-12,118.31,107.92,2.0,2023-06-08,139.09269386287326,2023-06-21,149.48,target3,48,2.5,False,30522.41,314.25
TORNTPOWER,2023-06-07,2023-06-08,692.17,598.63,2.0,,,2023-06-28,598.63,stop,14,-1.0,False,-14624.7,192.52
JBMA,2023-06-07,2023-06-09,467.62,399.9,2.0,2023-06-28,603.0667575780733,2023-06-30,670.79,target3,14,2.5,False,33373.7,222.81
EQUITASBNK,2023-02-21,2023-02-24,68.37,59.8,2.0,2023-05-30,85.49322769977621,2023-07-13,94.06,target3,92,2.5,False,30236.88,229.29
AETHER,2023-06-20,2023-06-23,1168.0,984.51,2.0,,,2023-08-09,1050.0,stall,32,-0.643,False,-9976.11,175.94
ABCAPITAL,2023-06-23,2023-06-28,193.2,167.83,2.0,,,2023-08-17,181.0,stall,34,-0.481,False,-7387.64,214.74
SONATSOFTW,2023-03-31,2023-04-03,406.64,362.21,2.0,2023-06-09,495.5068765612544,2023-08-28,494.99,stall_half,99,1.994,False,25163.55,260.91
METROBRAND,2023-05-24,2023-05-29,930.32,805.88,2.0,,,2023-09-04,1029.85,stall,68,0.8,False,9563.3,202.28
KEC,2023-05-19,2023-05-22,538.47,474.75,2.0,2023-07-26,665.9222118242183,2023-09-13,729.65,target3,80,2.5,False,31366.17,246.85
FACT,2023-06-12,2023-06-15,377.26,314.55,2.0,2023-07-13,502.6729703331542,2023-09-15,565.38,target3,64,2.5,False,34644.05,205.56
EIHOTEL,2023-08-30,2023-09-04,262.24,226.75,2.0,,,2023-09-20,226.75,stop,11,-1.0,False,-17250.29,226.74
CYIENT,2023-09-01,2023-09-06,1805.6,1559.32,2.0,,,2023-09-20,1559.32,stop,9,-1.0,False,-17088.3,227.88
IOB,2023-08-11,2023-08-17,32.5,27.07,2.0,2023-09-18,43.35419923782349,2023-10-04,48.78,target3,32,2.5,False,39687.31,232.24
IIFL,2023-07-10,2023-07-13,538.06,500.57,2.0,2023-08-01,613.0376438692346,2023-10-16,650.53,target3,64,2.5,False,37223.56,475.3
ANGELONE,2023-09-14,2023-09-20,181.13,166.42,2.0,2023-10-13,210.5614607077375,2023-10-20,225.28,target3,21,2.5,False,42246.38,467.43
BANKINDIA,2023-09-13,2023-09-15,98.36,88.26,2.0,,,2023-10-23,88.26,stop,24,-1.0,False,-17532.31,313.73
JINDALSAW,2023-10-11,2023-10-16,177.08,164.88,2.0,,,2023-10-26,164.88,stop,7,-1.0,False,-19939.71,508.86
CRISIL,2023-10-18,2023-10-23,4048.05,3704.57,2.0,,,2023-10-26,3704.57,stop,2,-1.0,False,-20132.16,421.13
NLCINDIA,2023-08-07,2023-08-10,127.48,108.93,2.0,,,2023-10-30,125.88,stall,53,-0.086,False,-2167.15,221.03
NETWORK18,2023-10-03,2023-10-06,73.5,63.24,2.0,,,2023-11-03,68.05,stall,19,-0.531,False,-10130.65,241.19
SWANENERGY,2023-10-25,2023-10-27,333.0,295.0,2.0,2023-11-08,408.9906,2023-11-13,446.99,target3,11,2.5,False,41347.86,336.1
