tkr,sig_date,entry_date,entry,trig,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
POWERINDIA,2022-02-17,2022-02-21,3140.82,2980.38,2818.28,2.0,2022-03-03,3785.896888877592,2022-04-19,3291.55,trail,37,1.234,False,36381.16,648.84
BSE,2022-03-08,2022-03-11,283.88,226.89,219.57,2.0,,,2022-04-28,265.42,ma_breach,31,-0.287,False,-9280.87,262.2
BDL,2022-02-28,2022-03-04,224.34,221.29,199.87,2.0,2022-03-16,273.2718708354974,2022-05-04,335.12,trail,39,3.264,False,103789.94,703.23
MAZDOCK,2022-04-12,2022-04-19,159.85,159.73,138.21,2.0,,,2022-05-05,138.21,stop,11,-1.0,False,-39147.16,514.35
GAEL,2022-03-10,2022-03-15,117.35,111.9,105.9,2.0,2022-04-11,140.23426758864656,2022-05-09,150.2,trail,35,2.436,False,73139.52,712.44
JKPAPER,2022-03-11,2022-03-15,258.24,254.55,219.52,2.0,2022-04-18,335.69848970785966,2022-05-09,309.59,trail,35,1.663,False,50009.27,465.78
ADANIENSOL,2022-02-22,2022-02-24,1990.0,1985.0,1808.29,2.0,2022-03-04,2353.420248779297,2022-05-10,2580.34,trail,48,2.624,False,76060.31,734.89
COALINDIA,2022-02-25,2022-03-03,140.05,121.81,112.35,2.0,,,2022-05-10,134.44,ma_breach,44,-0.203,False,-6861.18,308.34
AMBER,2022-04-28,2022-05-04,3928.0,3671.0,3438.36,2.0,,,2022-05-10,3438.36,stop,4,-1.0,False,-37228.86,532.07
RENUKA,2022-04-07,2022-04-12,58.95,49.5,43.01,2.0,,,2022-05-11,43.01,stop,18,-1.0,False,-37129.17,234.74
GODFRYPHLP,2022-05-09,2022-05-10,373.31,373.31,345.9,2.0,,,2022-05-12,345.9,stop,2,-1.0,False,-36863.73,885.96
LINDEINDIA,2022-03-14,2022-03-16,3256.3,2919.78,2779.08,2.0,,,2022-05-16,3053.89,ma_breach,39,-0.424,False,-13798.02,407.31
KEI,2022-05-17,2022-05-20,1235.78,1228.81,1133.15,2.0,,,2022-05-25,1133.15,stop,3,-1.0,False,-35227.33,752.39
GAEL,2022-05-11,2022-05-16,149.55,146.06,131.08,2.0,,,2022-06-10,147.55,ma_breach,19,-0.109,False,-4374.16,511.63
HOMEFIRST,2022-05-02,2022-05-05,740.01,738.43,666.03,2.0,,,2022-06-16,739.51,ma_breach,30,-0.007,False,-3338.78,690.85
BDL,2022-05-11,2022-05-12,318.94,318.94,296.47,2.0,2022-05-20,363.86966501969414,2022-06-20,366.28,trail,27,2.054,False,63250.23,963.51
COROMANDEL,2022-06-13,2022-06-16,936.93,894.29,861.72,2.0,,,2022-06-20,861.72,stop,2,-1.0,False,-33391.95,765.61
ABB,2022-05-05,2022-05-10,2249.8,2248.82,2044.88,2.0,,,2022-06-21,2146.87,ma_breach,30,-0.502,False,-18263.02,724.4
MRPL,2022-06-21,2022-06-23,84.56,81.33,75.62,2.0,,,2022-07-04,75.62,stop,7,-1.0,False,-32168.01,557.95
JAMNAAUTO,2022-06-30,2022-07-04,119.25,115.77,112.18,2.0,,,2022-08-04,112.18,stop,23,-1.0,False,-36336.33,1066.84
ASAHIINDIA,2022-06-15,2022-06-20,458.32,441.72,425.38,2.0,2022-06-24,524.1936084533454,2022-08-08,542.02,trail,35,2.271,False,66844.02,935.23
PHOENIXLTD,2022-06-17,2022-06-21,548.37,548.37,511.35,2.0,2022-07-07,622.3898085181632,2022-09-21,709.51,time,63,3.177,False,92119.18,987.03
CHOLAFIN,2022-08-01,2022-08-04,758.84,734.54,684.35,2.0,,,2022-09-28,711.82,ma_breach,36,-0.631,False,-22046.23,652.83
HOMEFIRST,2022-08-10,2022-08-16,940.39,817.31,777.04,2.0,,,2022-09-28,847.83,ma_breach,30,-0.567,False,-19825.56,358.75
ASHOKLEY,2022-05-20,2022-05-25,64.25,60.05,57.42,2.0,,,2022-09-30,68.0,ma_breach,89,0.549,False,16951.11,638.37
FEDERALBNK,2022-07-15,2022-07-20,106.36,96.31,92.8,2.0,2022-11-03,133.4890909722689,2022-11-03,134.61,time,71,2.041,False,66579.45,587.32
SOLARINDS,2022-08-03,2022-08-08,3144.3,2790.5,2704.23,2.0,2022-10-03,4024.431380046447,2022-11-11,4131.93,time,63,2.122,False,67440.63,536.08
FLUOROCHEM,2022-09-27,2022-09-30,3901.52,3663.16,3555.88,2.0,,,2022-11-14,3555.88,stop,28,-1.0,False,-34610.52,718.83
RENUKA,2022-09-20,2022-09-21,57.75,57.75,49.5,2.0,,,2022-11-15,56.95,ma_breach,36,-0.097,False,-4296.59,489.66
ASTERDM,2022-09-27,2022-09-28,192.44,192.44,174.66,2.0,,,2022-11-15,174.66,stop,31,-1.0,True,-35817.4,689.97
AIAENG,2022-11-10,2022-11-15,2729.45,2654.43,2576.13,2.0,,,2022-11-16,2576.13,stop,1,-1.0,False,-39190.38,1173.45
ALLCARGO,2022-11-09,2022-11-14,109.46,100.67,98.35,2.0,,,2022-12-08,102.52,ma_breach,18,-0.624,False,-23211.03,640.95
EASEMYTRIP,2022-11-21,2022-11-23,34.91,28.58,25.76,2.0,,,2022-12-09,25.76,stop,12,-1.0,True,-33005.85,216.21
RAYMOND,2022-11-01,2022-11-04,1312.91,1208.06,1170.25,2.0,2022-12-02,1598.2247687462313,2022-12-23,1397.37,trail,34,1.296,False,44682.58,698.37
