tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
ARE&M,2023-02-06,582.94,541.95,2.0,7.56,,,2023-05-08,599.23,time,13,0.398,14492.65,1409.01
DLF,2023-03-20,367.21,329.56,2.0,11.43,2023-05-22,462.51,2023-06-19,486.75,time,13,2.587,134484.3,1069.1
FDC,2023-04-24,280.66,256.04,2.0,9.62,2023-07-10,331.68,2023-07-24,330.36,time,13,2.009,98202.09,1253.23
ABB,2023-05-02,3358.08,3098.41,2.0,8.38,2023-05-29,3953.06,2023-07-31,4423.98,time,13,3.052,162360.97,1499.99
BIRLACORPN,2023-05-08,973.57,898.87,2.0,8.31,2023-06-05,1152.73,2023-08-07,1219.02,time,13,2.643,144086.67,1535.9
CREDITACC,2023-05-22,1213.82,1025.17,2.0,18.4,,,2023-08-21,1362.15,time,13,0.786,40318.04,745.53
JBCHEPHARM,2023-05-29,1003.42,849.12,2.0,18.17,2023-08-28,1379.93,2023-09-04,1372.13,time,14,2.195,130834.72,854.59
HEG,2023-06-05,251.56,214.36,2.0,17.35,2023-08-07,345.43,2023-09-04,346.33,time,13,2.274,144398.09,935.42
KALYANKJIL,2023-06-19,132.92,108.12,2.0,22.94,2023-08-14,201.26,2023-09-18,229.81,time,13,2.954,203658.52,865.56
ANGELONE,2023-07-24,156.04,138.19,2.0,12.91,2023-10-16,200.46,2023-10-23,226.09,time,13,2.963,210177.62,1371.95
CIPLA,2023-07-31,1148.7,1008.93,2.0,13.85,,,2023-10-30,1152.78,time,13,0.029,-28.88,1101.35
JINDWORLD,2023-08-07,68.72,61.28,2.0,12.15,,,2023-11-06,67.55,time,13,-0.157,-16413.91,1254.8
JMFINANCIL,2023-08-21,77.52,67.45,2.0,14.94,,,2023-11-20,78.36,time,13,0.083,4074.13,1136.11
MCX,2023-09-04,359.05,310.86,2.0,15.5,2023-10-23,459.45,2023-12-04,633.74,time,13,3.85,295458.5,1439.26
BBTC,2023-09-11,1249.36,960.39,2.0,30.09,,,2023-12-11,1353.51,time,13,0.36,25288.55,692.63
POWERINDIA,2023-10-16,4448.14,3893.4,2.0,14.25,2024-01-08,5621.19,2024-01-15,5934.09,time,13,2.339,179796.71,1421.16
KAJARIACER,2023-10-30,1260.59,1141.37,2.0,10.45,,,2024-01-29,1315.02,time,13,0.457,30223.03,1714.14
PRSMJOHNSN,2023-11-02,138.85,120.0,2.0,15.71,2023-12-04,184.7,2024-01-29,169.0,trail,13,1.8,153711.88,1315.27
TRITURBINE,2023-11-06,384.35,324.92,2.0,18.29,,,2024-02-05,360.6,time,13,-0.4,-35903.13,1014.55
SWSOLAR,2023-11-28,343.65,298.4,2.0,15.16,2023-12-26,444.0,2024-02-26,605.1,time,13,3.889,336324.62,1641.71
INDIACEM,2023-12-05,254.45,221.0,2.0,15.14,,,2024-03-04,233.05,time,13,-0.64,-59983.5,1312.62
TANLA,2023-12-18,1032.8,860.11,2.0,20.08,,,2024-03-18,814.42,stop,13,-1.265,-118333.39,985.97
ABFRL,2024-01-29,242.0,221.45,2.0,9.28,,,2024-03-18,207.5,stop,7,-1.679,-160171.74,2039.05
BORORENEW,2024-03-04,568.4,510.2,2.0,11.41,,,2024-03-18,495.1,stop,2,-1.259,-118404.97,1674.2
BIOCON,2024-01-08,292.4,248.97,2.0,17.44,,,2024-04-08,272.06,time,13,-0.468,-46542.37,1229.9
ABCAPITAL,2024-02-05,182.0,163.35,2.0,11.42,2024-04-29,233.0,2024-05-06,232.5,time,13,2.354,248774.11,2063.44
ABB,2024-02-26,5268.71,4374.14,2.0,20.45,2024-05-13,7449.25,2024-05-27,8347.06,time,13,2.721,267835.55,1353.37
HEG,2024-03-18,372.81,325.75,2.0,14.44,2024-04-22,488.72,2024-05-27,449.73,trail,10,1.817,169789.13,1506.52
BLS,2024-03-18,353.78,260.07,2.0,36.03,,,2024-06-18,348.54,time,13,-0.056,-5844.78,630.93
CAMS,2024-03-18,579.39,523.7,2.0,10.64,2024-06-18,698.37,2024-06-24,684.82,time,14,1.947,166141.9,1921.16
AAVAS,2024-04-08,1610.0,1330.2,2.0,21.03,,,2024-07-08,1779.0,time,13,0.604,53686.49,1116.9
USHAMART,2024-04-22,361.37,320.32,2.0,12.81,,,2024-07-22,362.2,time,13,0.02,-3834.64,1636.1
TEJASNET,2024-04-29,1036.28,772.22,2.0,34.19,,,2024-07-29,1304.11,time,13,1.014,96679.72,858.3
CHOLAFIN,2024-05-07,1322.53,1158.11,2.0,14.2,,,2024-08-05,1367.07,time,13,0.271,23740.63,1608.23
AARTIIND,2024-07-29,705.57,627.42,2.0,12.46,,,2024-08-19,604.54,stop,3,-1.293,-143084.02,1813.11
FINCABLES,2024-05-27,1288.71,1021.47,2.0,26.16,,,2024-08-26,1459.81,time,13,0.64,62276.75,1030.2
SAREGAMA,2024-05-27,470.72,396.19,2.0,18.81,,,2024-08-26,518.97,time,13,0.647,60188.72,1330.09
ADANIENSOL,2024-08-05,1200.0,1047.85,2.0,14.52,,,2024-09-02,1017.0,stop,4,-1.203,-130088.33,1542.35
CHEMPLASTS,2024-06-18,623.55,402.8,2.0,54.8,,,2024-09-16,490.3,time,13,-0.604,-70185.3,570.01
HOMEFIRST,2024-06-18,1054.79,844.58,2.0,24.89,,,2024-09-16,1199.66,time,13,0.689,75673.2,1211.53
MAPMYINDIA,2024-06-24,2472.4,1933.28,2.0,27.89,,,2024-09-23,2090.92,time,13,-0.708,-81319.14,952.23
ADANIPOWER,2024-08-19,139.6,124.0,2.0,12.58,,,2024-10-21,123.0,stop,9,-1.064,-107896.9,1659.59
ALOKINDS,2024-08-26,28.5,25.14,2.0,13.37,,,2024-10-21,23.64,stop,8,-1.446,-145417.38,1530.54
ASAHIINDIA,2024-07-29,690.24,604.71,2.0,14.14,,,2024-10-28,676.39,time,13,-0.162,-25287.55,1728.14
JMFINANCIL,2024-09-02,101.62,88.37,2.0,14.99,2024-09-30,139.77,2024-10-28,130.45,trail,8,2.088,241008.16,1725.47
AETHER,2024-09-16,997.0,909.05,2.0,9.67,,,2024-10-28,780.0,stop,6,-2.467,-257686.23,2042.26
RITES,2024-09-23,358.48,280.34,2.0,27.87,,,2024-10-28,266.54,stop,5,-1.177,-121961.69,819.11
BAJAJ-AUTO,2024-10-28,9815.69,9503.41,2.0,3.29,,,2024-11-04,9517.93,stop,1,-0.953,-96193.35,5592.32
ABBOTINDIA,2024-11-04,28749.59,27046.71,2.0,6.3,,,2024-11-18,27068.11,stop,2,-0.987,-103393.72,2986.14
