tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
MASFIN,2020-11-17,320.07,261.74,2.0,22.29,,,2021-02-15,275.15,time,13,-0.77,-19528.74,241.75
INDOSTAR,2020-12-10,349.95,294.9,2.0,18.67,,,2021-03-08,327.0,time,13,-0.417,-11902.02,303.61
RELCAPITAL,2021-03-15,13.8,10.5,2.0,31.43,,,2021-04-19,9.7,stop,5,-1.242,-30881.06,171.78
TTKPRESTIG,2021-02-15,712.73,566.22,2.0,25.88,,,2021-05-17,689.96,time,13,-0.155,-4435.98,224.8
GESHIP,2021-03-01,259.72,214.58,2.0,21.03,,,2021-05-31,342.43,time,13,1.832,42109.79,314.59
ITDC,2021-03-01,322.3,257.06,2.0,25.38,,,2021-05-31,378.93,time,13,0.868,19121.24,253.43
ICRA,2021-03-23,2909.01,2554.19,2.0,13.89,,,2021-06-21,3046.06,time,13,0.386,7683.09,393.72
GUJALKALI,2021-04-12,373.68,305.62,2.0,22.27,,,2021-07-12,399.85,time,13,0.385,8206.17,270.48
NAUKRI,2021-04-12,911.18,823.48,2.0,10.65,,,2021-07-12,1066.1,time,13,1.767,41072.99,536.55
GLENMARK,2021-04-19,559.85,476.21,2.0,17.56,,,2021-07-19,663.96,time,13,1.245,28025.13,336.55
GODREJCP,2021-05-17,814.75,666.8,2.0,22.19,,,2021-08-16,939.16,time,13,0.841,19292.23,279.06
INDOSTAR,2021-06-07,392.9,310.0,2.0,26.74,,,2021-08-23,294.0,stop,11,-1.193,-29563.86,200.46
HERITGFOOD,2021-06-07,197.03,157.23,2.0,25.31,,,2021-09-06,222.7,time,13,0.645,14718.69,255.18
GODREJAGRO,2021-06-28,574.46,507.02,2.0,13.3,,,2021-09-27,610.16,time,13,0.529,11524.94,432.67
AUBANK,2021-07-12,592.51,508.33,2.0,16.56,,,2021-10-11,607.96,time,13,0.184,4159.01,375.77
PRESTIGE,2021-07-19,320.74,294.64,2.0,8.86,2021-09-06,419.22,2021-10-18,453.34,time,13,3.54,114829.42,770.03
SYNGENE,2021-07-20,673.12,569.46,2.0,18.2,,,2021-10-18,608.71,time,13,-0.621,-17733.37,329.95
DELTACORP,2021-09-06,200.77,166.02,2.0,20.93,2021-10-04,272.87,2021-11-01,249.71,trail,8,1.704,47634.75,368.75
VIPIND,2021-08-16,451.12,368.71,2.0,22.35,,,2021-11-15,616.15,time,13,2.002,53696.77,351.36
DBL,2021-10-11,661.4,565.05,2.0,17.05,,,2021-11-22,545.94,stop,6,-1.198,-38246.71,392.55
CENTURYPLY,2021-09-06,393.94,338.79,2.0,16.28,2021-10-18,532.67,2021-12-06,627.52,time,13,3.118,91891.98,489.77
EIHOTEL,2021-09-27,124.5,106.37,2.0,17.05,,,2021-12-27,117.09,time,13,-0.409,-13243.6,387.52
BHEL,2021-10-04,65.08,55.16,2.0,17.98,,,2022-01-03,58.22,time,13,-0.692,-21751.27,378.8
UNIONBANK,2021-10-18,39.12,32.47,2.0,20.48,,,2022-01-17,39.17,time,13,0.006,-477.59,382.57
IRCON,2021-10-25,46.64,39.46,2.0,18.21,,,2022-01-24,41.44,time,13,-0.723,-24288.84,388.66
ASAHIINDIA,2021-11-01,434.7,341.17,2.0,27.41,,,2022-01-31,573.15,time,13,1.48,44239.92,330.48
WELCORP,2021-11-22,145.79,132.25,2.0,10.24,2021-12-13,174.57,2022-02-14,159.47,trail,12,1.505,47079.03,731.34
FSL,2021-12-27,165.51,135.64,2.0,22.02,,,2022-02-14,126.06,stop,7,-1.321,-40794.38,297.6
DEEPAKNTR,2021-12-06,2276.64,1976.51,2.0,15.18,,,2022-02-28,1961.73,stop,12,-1.049,-33127.69,435.32
INDIGO,2022-02-14,2166.34,1981.65,2.0,9.32,,,2022-02-28,1866.85,stop,2,-1.622,-52258.16,687.09
INOXLEISUR,2021-12-13,403.7,337.7,2.0,19.54,,,2022-03-14,427.0,time,13,0.353,10076.41,410.47
BALRAMCHIN,2022-01-03,352.55,306.48,2.0,15.03,2022-03-14,476.97,2022-04-04,470.84,time,13,2.284,79658.3,555.76
CHOLAFIN,2022-01-24,654.13,581.78,2.0,12.44,,,2022-04-25,704.97,time,13,0.703,21741.22,610.49
GAEL,2022-01-31,106.3,86.23,2.0,23.28,2022-04-18,157.2,2022-05-02,163.39,time,13,2.422,83480.5,419.45
AFFLE,2022-02-28,1190.0,1106.05,2.0,7.59,,,2022-05-16,1045.0,stop,11,-1.727,-52481.34,787.1
ABFRL,2022-03-14,282.0,252.0,2.0,11.9,,,2022-06-13,252.5,time,13,-0.983,-32448.23,569.35
FACT,2022-03-14,125.49,105.85,2.0,18.55,,,2022-06-13,118.21,time,13,-0.371,-13229.7,396.61
NETWORK18,2022-05-16,77.0,65.55,2.0,17.47,,,2022-06-20,63.5,stop,5,-1.179,-36809.59,376.05
WELCORP,2022-04-05,175.51,139.42,2.0,25.89,,,2022-07-04,206.91,time,13,0.87,27941.0,355.43
ACC,2022-04-25,2212.4,1987.97,2.0,11.29,,,2022-07-25,2160.23,time,13,-0.232,-9219.14,671.45
ABB,2022-05-16,2262.55,2036.49,2.0,11.1,2022-08-16,2764.42,2022-08-22,2818.38,time,14,2.229,70460.84,685.14
IIFL,2022-06-13,332.72,311.19,2.0,6.92,,,2022-09-12,328.8,time,13,-0.182,-7620.07,987.42
VIPIND,2022-06-20,590.26,500.61,2.0,17.91,,,2022-09-19,644.96,time,13,0.61,16588.61,406.75
ADANIENSOL,2022-07-05,2465.0,2102.0,2.0,17.27,2022-08-08,3314.0,2022-10-03,3328.9,trail,13,2.19,71943.11,492.05
ANGELONE,2022-07-25,134.65,116.82,2.0,15.27,,,2022-10-24,151.39,time,13,0.939,30213.38,532.76
SWANENERGY,2022-09-12,235.6,206.5,2.0,14.09,,,2022-10-31,207.4,stop,7,-0.969,-36348.96,541.25
SOLARINDS,2022-08-08,3144.3,2665.97,2.0,17.94,2022-10-10,4086.09,2022-11-07,4036.26,time,13,1.932,60413.53,488.2
GUJALKALI,2022-08-22,804.81,703.49,2.0,14.4,,,2022-11-21,712.45,time,13,-0.912,-31437.47,501.63
PRAJIND,2022-10-10,434.76,386.97,2.0,12.35,,,2022-11-28,373.79,stop,7,-1.276,-46714.78,605.09
ALLCARGO,2022-09-12,94.38,78.57,2.0,20.12,,,2022-12-12,100.56,time,13,0.391,12364.06,438.39
KPITTECH,2022-09-26,640.05,547.63,2.0,16.88,,,2022-12-26,640.0,time,13,-0.001,-891.17,484.73
SUZLON,2022-10-24,8.85,6.75,2.0,31.11,,,2023-01-23,10.05,time,13,0.571,19608.05,317.84
NH,2022-10-31,761.86,693.71,2.0,9.82,,,2023-01-30,718.12,time,13,-0.642,-25056.18,757.91
ASTERDM,2022-11-28,175.26,166.08,2.0,5.53,,,2023-01-30,160.87,stop,9,-1.568,-58361.05,1260.38
ATGL,2023-01-02,3694.93,3095.85,2.0,19.35,,,2023-01-30,2497.57,stop,4,-1.999,-68583.8,351.43
ASHOKLEY,2023-01-30,67.91,65.41,2.0,3.82,,,2023-02-27,64.13,stop,4,-1.509,-50348.65,1656.69
BDL,2023-01-02,459.99,389.38,2.0,18.13,,,2023-04-03,487.99,time,13,0.396,12658.39,456.44
TVSMOTOR,2023-01-30,1033.81,952.7,2.0,8.51,,,2023-05-02,1135.28,time,13,1.251,37762.97,839.47
ASTERDM,2023-02-27,176.73,167.78,2.0,5.33,2023-05-29,205.73,2023-06-05,207.69,time,14,2.73,94191.46,1310.11
BHEL,2023-03-06,74.98,65.84,2.0,13.88,,,2023-06-05,82.92,time,13,0.87,24996.12,515.23
COCHINSHIP,2023-04-03,233.91,199.7,2.0,17.13,,,2023-07-03,276.71,time,13,1.251,36387.58,453.07
ABB,2023-05-02,3358.08,3098.41,2.0,8.38,2023-05-29,3953.06,2023-07-31,4423.98,time,13,3.052,100232.55,926.01
BAJAJHLDNG,2023-05-29,6783.82,6020.43,2.0,12.68,,,2023-08-28,6935.41,time,13,0.199,4658.47,617.07
ELGIEQUIP,2023-05-29,541.17,479.28,2.0,12.91,,,2023-08-28,464.45,stop,13,-1.24,-43566.2,557.92
3MINDIA,2023-06-05,25365.91,22915.96,2.0,10.69,,,2023-09-04,30614.9,time,13,2.142,71649.01,793.77
RBLBANK,2023-06-05,167.13,146.48,2.0,14.09,2023-07-24,220.17,2023-09-04,237.18,time,13,2.696,102357.36,665.99
ANGELONE,2023-07-24,156.04,138.19,2.0,12.91,2023-10-16,200.46,2023-10-23,226.09,time,13,2.963,121433.85,792.67
GODFRYPHLP,2023-08-02,663.76,519.7,2.0,27.72,,,2023-10-30,702.93,time,13,0.272,9738.77,362.54
JKCEMENT,2023-09-04,3321.14,3129.62,2.0,6.12,,,2023-10-30,3067.96,stop,8,-1.322,-58305.2,1351.94
JUBLPHARMA,2023-08-17,455.4,368.57,2.0,23.56,,,2023-11-13,410.35,time,13,-0.519,-21364.09,384.73
GSFC,2023-08-28,151.85,137.71,2.0,10.26,2023-10-23,196.8,2023-11-13,176.07,trail,11,1.857,91441.84,925.94
VGUARD,2023-10-23,307.93,282.06,2.0,9.17,,,2024-01-23,291.59,time,13,-0.631,-31689.48,998.07
AXISBANK,2023-10-30,1001.12,949.85,2.0,5.4,2023-12-11,1127.17,2024-01-29,1034.32,trail,13,1.324,61685.67,1692.58
APOLLOTYRE,2023-11-13,406.97,371.08,2.0,9.67,2024-01-23,510.91,2024-02-12,503.19,time,13,2.34,112901.86,1048.36
PRINCEPIPE,2023-11-13,724.56,612.07,2.0,18.38,,,2024-02-12,644.92,time,13,-0.708,-30050.78,501.22
TANLA,2023-12-18,1032.8,860.11,2.0,20.08,,,2024-03-18,814.42,stop,13,-1.265,-55830.05,465.18
AIAENG,2024-01-29,3904.86,3568.85,2.0,9.42,,,2024-04-29,3870.76,time,13,-0.101,-8034.37,1018.85
CGPOWER,2024-01-29,466.68,411.37,2.0,13.44,,,2024-04-29,560.99,time,13,1.705,73611.94,818.11
DELHIVERY,2024-02-05,472.0,406.05,2.0,16.24,,,2024-05-06,455.7,time,13,-0.247,-12292.34,634.6
TRITURBINE,2024-02-12,459.2,343.91,2.0,33.52,,,2024-05-13,547.05,time,13,0.762,31485.68,368.25
ABB,2024-02-26,5268.71,4374.14,2.0,20.45,2024-05-13,7449.25,2024-05-27,8347.06,time,13,2.721,122487.13,618.93
DATAPATTNS,2024-02-26,2338.2,2007.87,2.0,16.45,2024-04-29,3108.31,2024-05-27,3069.51,time,13,2.107,94319.24,690.85
DEEPAKNTR,2024-04-29,2492.19,2254.89,2.0,10.52,,,2024-06-03,2264.77,stop,5,-0.958,-46703.1,941.44
BLS,2024-03-18,353.78,260.07,2.0,36.03,,,2024-06-18,348.54,time,13,-0.056,-2898.27,312.86
ABFRL,2024-04-29,271.0,232.0,2.0,16.81,,,2024-07-29,333.0,time,13,1.59,73352.34,727.35
BIOCON,2024-04-29,309.66,261.44,2.0,18.44,,,2024-07-29,370.3,time,13,1.258,57879.16,662.28
ENDURANCE,2024-05-14,2058.09,1871.44,2.0,9.97,2024-06-18,2676.66,2024-07-29,2552.76,trail,11,2.325,136369.24,1179.47
FINCABLES,2024-05-27,1288.71,1021.47,2.0,26.16,,,2024-08-26,1459.81,time,13,0.64,30483.81,504.27
SAREGAMA,2024-05-27,470.72,396.19,2.0,18.81,,,2024-08-26,518.97,time,13,0.647,29461.75,651.07
EMAMILTD,2024-06-03,615.54,495.31,2.0,24.27,,,2024-09-02,787.5,time,13,1.43,68933.58,570.8
ZFCVINDIA,2024-06-04,2891.1,2211.14,2.0,30.75,,,2024-09-02,2622.09,time,13,-0.396,-21144.05,404.34
HOMEFIRST,2024-06-18,1054.79,844.58,2.0,24.89,,,2024-09-16,1199.66,time,13,0.689,36936.23,591.35
MAPMYINDIA,2024-06-24,2472.4,1933.28,2.0,27.89,,,2024-09-23,2090.92,time,13,-0.708,-39329.68,460.54
ASAHIINDIA,2024-07-29,690.24,604.71,2.0,14.14,,,2024-10-28,676.39,time,13,-0.162,-12056.65,884.38
GICRE,2024-07-29,391.68,336.95,2.0,16.24,,,2024-10-28,342.7,time,13,-0.895,-50873.59,742.65
CIEINDIA,2024-08-26,552.64,511.24,2.0,8.1,,,2024-10-28,484.0,stop,9,-1.658,-93848.2,1346.12
JMFINANCIL,2024-09-02,101.62,88.37,2.0,14.99,2024-09-30,139.77,2024-10-28,130.45,trail,8,2.088,135730.71,971.75
CANFINHOME,2024-09-16,918.69,819.48,2.0,12.11,,,2024-11-18,798.02,stop,9,-1.216,-70503.23,977.94
LAXMIMACH,2024-09-30,17887.46,15573.67,2.0,14.86,,,2024-11-18,15204.14,stop,7,-1.16,-69748.04,824.57
SONACOMS,2024-10-28,690.44,618.95,2.0,11.55,,,2024-12-23,583.11,stop,8,-1.501,-80672.09,937.21
