tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
GRINFRA,2024-05-21,1540.22,1283.37,0.1846,,,2024-08-19,1600.35,time,13,0.234
SWANENERGY,2024-05-21,605.0,503.25,0.1249,,,2024-08-19,688.0,time,13,0.816
NIACL,2024-07-29,286.13,235.0,0.1233,,,2024-08-19,237.46,stop,3,-0.952
EMAMILTD,2024-06-03,615.54,495.31,0.1806,,,2024-09-02,787.5,time,13,1.43
ZFCVINDIA,2024-06-04,2891.1,2211.14,0.0645,,,2024-09-02,2622.09,time,13,-0.396
JKPAPER,2024-06-18,482.12,398.19,0.1671,,,2024-09-16,453.25,time,13,-0.344
HOMEFIRST,2024-06-18,1054.79,844.58,0.0708,,,2024-09-16,1199.66,time,13,0.689
CEATLTD,2024-07-01,2761.85,2357.95,0.0333,,,2024-09-30,3180.15,time,13,1.036
ADANIPOWER,2024-08-19,139.6,124.0,0.0664,,,2024-10-21,123.0,stop,9,-1.064
TRIVENI,2024-08-19,411.09,368.87,0.0725,,,2024-11-18,367.88,time,13,-1.024
SUNDARMFIN,2024-09-02,4999.34,4226.03,0.1006,,,2024-11-18,4103.57,stop,11,-1.158
LAXMIMACH,2024-09-30,17887.46,15573.67,0.0269,,,2024-11-18,15204.14,stop,7,-1.16
RALLIS,2024-10-21,351.02,304.14,0.1392,,,2024-11-18,302.77,stop,4,-1.029
GSPL,2024-09-02,419.95,338.0,0.2058,,,2024-11-25,336.0,stop,12,-1.024
PRSMJOHNSN,2024-09-16,214.51,172.0,0.1229,,,2024-12-16,194.35,time,13,-0.474
VBL,2024-09-16,644.73,546.45,0.0124,,,2024-12-16,645.68,time,13,0.01
CHALET,2024-12-16,1006.44,889.66,0.1467,,,2025-01-20,826.08,stop,5,-1.544
UNOMINDA,2024-11-18,991.5,911.91,0.1064,,,2025-01-27,887.47,stop,10,-1.307
GODREJAGRO,2024-11-18,718.01,679.96,0.1217,,,2025-02-17,693.78,time,13,-0.637
FACT,2024-12-04,1011.6,829.67,0.1683,,,2025-02-17,729.71,stop,11,-1.549
RPOWER,2025-01-20,42.39,36.49,0.2478,,,2025-03-03,33.46,stop,6,-1.514
JUBLFOOD,2025-02-03,733.72,633.1,0.2372,,,2025-03-03,625.86,stop,4,-1.072
ZENSARTECH,2025-01-27,816.08,705.3,0.1951,,,2025-03-17,644.28,stop,7,-1.551
COHANCE,2025-02-24,1221.1,1078.05,0.2224,,,2025-05-12,1077.8,stop,11,-1.002
GODFRYPHLP,2025-02-17,1928.62,1594.18,0.1935,2025-04-28,2636.44,2025-05-19,2864.25,time,13,2.399
