ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
BALMLAWRIE,2023-01-06,114.23286437988281,113.22967530143532,89.04463040576042,22.05,27.16,99.58133468627929,99.0324386249889,14.71,15.35,10.6,2.49,2023,False,53994594.57318954,True,15-20%
BANKBARODA,2025-09-19,244.1821746826172,242.93920639704749,191.30620128999757,21.65,26.99,224.14165293375652,222.06221805919301,8.94,9.96,4.38,2.08,2025,True,1890791775.3325028,True,5-10%
BASF,2023-11-24,2969.536376953125,2959.550597533539,2402.245552611639,19.1,23.2,2584.343465169271,2502.3300836736507,14.9,18.67,10.5,3.33,2023,False,123162694.17757568,True,15-20%
BEL,2025-05-16,361.5186767578125,319.69418819975505,237.3631932256515,34.34,34.69,286.0931630452474,287.6028532548384,26.36,25.7,19.53,2.45,2025,True,9387286064.47912,True,>25%
BERGEPAINT,2018-05-25,237.1384735107422,229.93911853528422,185.82311305499155,21.64,23.74,207.84644724527996,205.88947053389117,14.09,15.18,11.6,2.29,2018,True,306625367.6090027,True,15-20%
BERGEPAINT,2019-08-09,290.7873229980469,275.8575503896007,229.44416817316304,21.1,20.23,255.54141235351562,253.9096256602894,13.79,14.52,15.23,2.74,2019,True,494628754.9792374,True,10-15%
BERGEPAINT,2023-08-04,579.5833740234375,569.3958240718738,431.6010546066019,25.53,31.93,504.2235056559245,499.5883560180664,14.95,16.01,6.17,2.09,2023,True,506739717.85426635,True,15-20%
BHARATFORG,2023-08-11,957.7100830078125,925.0764906880972,728.3576309638523,23.95,27.01,808.5913330078125,814.8087837912819,18.44,17.54,11.3,2.22,2023,True,1334942724.3868072,True,15-20%
BHARATRAS,2024-05-31,2675.23193359375,2530.9065860385226,2082.647753223119,22.15,21.52,2295.7546630859374,2290.7715176669035,16.53,16.78,6.62,13.99,2024,False,65694164.03901367,True,15-20%
BIOCON,2025-11-14,411.1499938964844,406.0,317.4755091067408,22.78,27.88,357.1772471110026,353.19467717950994,15.11,16.41,9.09,2.9,2025,True,1459134990.563797,True,15-20%
BIRLACORPN,2023-06-02,1141.9093017578125,1077.4862243268215,829.285810972516,27.38,29.93,932.3280619303385,939.2261921275746,22.48,21.58,16.31,3.3,2023,True,266064959.51049194,True,20-25%
BLISSGVS,2023-07-14,89.67134857177734,86.09691234740632,68.09034436085827,24.07,26.45,74.75614700317382,74.35715120488948,19.95,20.6,9.49,3.29,2023,False,25481982.845571898,False,20-25%
CAMS,2023-11-17,545.7825317382812,512.1748220550683,390.0418544470979,28.54,31.31,446.538905843099,438.6284963434393,22.23,24.43,17.99,4.64,2023,True,815863979.4794235,True,20-25%
CANFINHOME,2023-04-28,597.2774047851562,587.0111663825787,471.0811290708369,21.13,24.61,525.822607421875,531.0552284934304,13.59,12.47,10.71,2.06,2023,True,355141577.0048019,True,10-15%
CANFINHOME,2025-10-24,841.8200073242188,817.6546130968015,681.1644131914952,19.08,20.04,750.8250813802083,718.2172698974609,12.12,17.21,8.18,2.69,2025,True,258631011.92353517,True,15-20%
CARERATING,2026-05-15,1785.38330078125,1773.3842975939979,1381.0837272376718,22.64,28.41,1580.8163696289062,1584.3400240811434,12.94,12.69,16.83,4.2,2026,False,156709446.29056397,True,10-15%
