tkr,sig_date,entry_date,entry,trig,gap_pct,stop0,stop_pct,sh,notional_pct,risk_pct,adv_cr,rank,half_date,half_px,exit_date,exit_px,reason,held,R,final_stop,half_done,engine,slope66_pct,dist_to_44sma_pct,atr_pct,regime_ok,days_to_fill,mae_pct,mfe_pct,max_1d_move_in_trade_pct,zero_vol_days,exit_day_open,gap_through_stop,gross_ret_pct,src
BORORENEW,2024-02-13,2024-02-14,552.6520755615234,552.6520755615234,-2.678375895095686,392.53490587052863,40.790555768766936,167.4932598977968,6.9030957345557615,2.0,171.74869820202147,23,,,2024-03-13,509.68981219482424,stop,19,-0.2683176541879343,509.68981219482424,False,B,19.28919589814191,7.048771226749984,7.411459772669337,True,1,-13.146078477621758,9.25499323954886,6.500368508803178,0,516.0,False,-7.773835522656314,pinned
NLCINDIA,2024-02-13,2024-02-15,238.90833077566353,238.90833077566353,-4.128130927584506,162.9787952263745,46.58859788712042,352.9717474752945,6.2928958816185085,2.0,200.50420235151648,13,,,2024-03-13,210.15224387045265,stop,18,-0.37872070067574826,210.15224387045265,False,B,74.46649134321042,3.234580592967662,8.170863617725306,True,2,-20.295688353247165,6.488523328922846,8.591455235635305,0,214.08965775410718,False,-12.036452145410125,pinned
NMDC,2024-02-29,2024-03-01,70.38847303174855,70.38847303174855,-1.057121464772759,59.89046288915129,17.528684261511863,2571.2505916105156,13.409869503961842,2.0,600.011206290431,47,,,2024-03-13,67.69309223881888,stop,7,-0.25675158971248796,67.69309223881888,False,B,43.47343983198686,3.0117911331196012,3.793456973474897,True,1,-11.49963495077061,6.6877371675317265,8.076062609899026,0,68.29682519958472,False,-3.829292889638225,pinned
PNB,2024-04-03,2024-04-04,127.91611363564355,127.71703649192602,0.15587360088027413,111.2812169455714,14.948521544483494,1614.8016683589929,15.379249540153136,2.0,554.035636876881,40,,,2024-04-15,122.38015503469502,stop,6,-0.33279188347784805,122.38015503469502,False,B,54.359497717109015,9.144975414106105,3.2968397353992227,True,1,-5.691360398126621,0.9120766641521616,2.8679320616950865,0,123.38933673151527,False,-4.327803936193031,pinned
NCC,2024-03-21,2024-03-26,237.608670095544,237.608670095544,-1.9207744948146033,172.55078620368124,37.703614873749444,408.2440152655449,7.304531161526554,2.0,240.80425021284088,49,,,2024-04-19,238.50920711308876,stop,15,0.013842088977895578,238.50920711308876,False,B,41.242162009876296,4.786077767175612,6.968827960636985,True,2,-4.403787074554366,15.067201340332259,7.693879285285286,0,236.04384780352666,True,0.37900006644651096,pinned
MEDANTA,2024-03-27,2024-03-28,1351.5135585682935,1349.8631527369519,0.12226467757086024,1095.573473300095,23.36128899664336,103.67321127310572,10.56117143316607,2.0,69.2045073512439,48,,,2024-05-03,1388.1103479912738,stop,22,0.1429896742615781,1388.1103479912738,False,B,46.41043694648583,5.177584785889455,4.776185490726969,True,1,-4.933428341115009,11.760351523618496,3.1572955790246944,0,1436.4829675960068,False,2.707837386533396,pinned
MRPL,2024-04-24,2024-04-25,246.24549596683985,246.24549596683985,-1.1827782009970478,196.0468690084932,25.60542140368074,547.0345073839022,9.810845869197463,2.0000000000000004,132.4360475130693,13,,,2024-05-07,208.99217694406047,stop,7,-0.7421182864959849,208.99217694406047,False,B,82.51139335997415,8.06689943308012,5.2040601902808294,True,1,-15.732674854172114,2.3414843451684986,8.92643733395403,0,224.13393565941408,False,-15.128528088000447,pinned
COLPAL,2024-04-15,2024-04-16,2546.018708449083,2546.018708449083,-0.6968558572399974,2267.017455313964,12.306974191183695,97.11101262989409,18.250948193526987,2.0,124.91365731288819,43,,,2024-05-15,2608.1460006482407,stop,19,0.22267746650252385,2608.1460006482407,False,B,14.737471085002007,2.09395085206181,2.7552997900798624,True,1,-2.2515383153641544,10.126475736683883,5.22702687481532,0,2675.149720031443,False,2.4401742215399036,pinned
HINDCOPPER,2024-03-26,2024-03-27,283.2965584141897,283.2965584141897,-0.7291790829058731,222.87483376534115,27.110160276087946,439.7976146199903,9.377307915674947,2.0,319.3145589881953,34,2024-05-22,404.14000771188677,2024-05-30,358.37273029371505,stop,41,1.6212680316214385,358.37273029371505,True,B,67.0777711112281,4.761011482479405,5.39780077286671,True,1,-4.452508172792891,45.36644203806948,11.436797212731982,0,369.42805200973845,False,26.500912083005712,pinned
OFSS,2024-04-26,2024-04-29,6825.313783604577,6773.630207174043,0.763011484975884,5798.545104294097,17.707350048033767,27.006531056770626,13.294744806957048,2.0,224.6282641335767,5,,,2024-05-30,6926.666566917519,stop,21,0.09871043532512573,6926.666566917519,False,A,91.63997058012967,-7.763383628564546,3.8107907941994403,True,1,-2.7667984189723382,8.503935053347323,2.2563585075185912,0,7002.88980802003,False,1.4849541944343514,pinned
