ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
MARUTI,2025-08-22,2025-11-07,14349.0,10941.03,23.75,0.383,11,stop,False,False,20.3,16.37,5907207448.309961,2025,stop@15708.00x1.00
MCX,2021-10-08,2021-12-03,373.15,272.77,26.9,-0.574,8,stop,False,False,22.9,0.52,1718973677.7141724,2021,stop@316.80x1.00
MEDANTA,2025-07-11,2025-09-12,1302.83,996.09,23.54,0.08,9,stop,False,False,14.06,9.52,697954026.3481445,2025,stop@1332.02x1.00
METROPOLIS,2023-10-13,2024-01-12,387.06,300.34,22.4,-0.286,13,stop,False,True,16.45,6.48,637686314.3841308,2023,stage3_half@343.83x0.50;stop@383.45x0.50
MOTILALOFS,2021-05-21,2021-08-27,787.34,560.84,28.77,-0.074,14,stop,False,True,27.07,6.93,432297192.20776063,2021,stage3_half@799.30x0.50;stop@752.87x0.50
MRF,2020-11-20,2021-03-19,78401.37,54830.57,30.06,0.187,17,stop,False,False,25.42,6.04,3113067141.2707033,2020,stop@83098.31x1.00
MRPL,2025-10-31,2026-01-02,162.96,117.52,27.88,-0.401,9,stop,False,True,24.41,14.91,1945663904.3671868,2025,stage3_half@150.56x0.50;stop@140.07x0.50
NESTLEIND,2025-10-17,2025-12-05,1282.58,1078.87,15.88,-0.212,7,stop,False,False,11.66,5.57,2042887757.2345276,2025,stop@1243.98x1.00
NHPC,2020-01-24,2020-03-13,20.43,15.04,26.39,-0.848,7,stop,False,False,17.54,10.88,335665442.180215,2020,stop@15.99x1.00
NLCINDIA,2025-09-26,2025-11-21,275.6,208.63,24.3,-0.434,8,stop,False,False,19.6,15.71,1024671904.0412979,2025,stop@247.48x1.00
NMDC,2023-09-08,2024-03-15,42.54,30.28,28.82,2.04,27,stop,False,False,28.08,20.38,1987992487.2423942,2023,stop@67.76x1.00
OFSS,2023-04-28,2023-10-20,3008.62,2435.42,19.05,0.988,25,stop,False,False,13.56,8.6,217385223.60181886,2023,stop@3597.90x1.00
ONGC,2018-01-25,2018-03-09,130.38,95.57,26.7,-0.442,6,stop,False,True,19.76,4.07,1111505180.3324065,2018,stage3_half@117.16x0.50;stop@113.72x0.50
PCBL,2023-06-16,2023-07-28,152.63,103.5,32.19,-0.149,6,stop,False,False,28.29,23.02,380203594.1487373,2023,stop@146.35x1.00
PFC,2022-11-25,2024-02-23,93.54,63.72,31.88,9.252,65,stop,False,False,25.8,16.46,883195527.2719955,2022,stop@370.26x1.00
PFIZER,2021-07-30,2021-08-27,5498.97,4053.51,26.29,-0.121,4,stop,False,False,15.63,1.56,591488216.4173095,2021,stop@5343.61x1.00
PGHH,2023-09-01,2023-12-22,15320.96,12489.35,18.48,0.24,16,stop,False,True,13.29,6.32,103438255.22021484,2023,stage3_half@16158.57x0.50;stop@16060.92x0.50
PNCINFRA,2023-01-06,2023-02-24,315.61,233.03,26.17,-0.192,7,stop,False,False,21.79,16.13,263019058.02896577,2023,stop@301.88x1.00
POLYCAB,2021-01-08,2021-03-19,1208.71,772.5,36.09,0.096,10,stop,False,False,47.0,10.67,730226232.056781,2021,stop@1255.12x1.00
PRESTIGE,2022-12-02,2023-01-27,505.5,376.05,25.61,-0.609,8,stop,False,False,12.72,2.67,184213053.92991942,2022,stop@429.95x1.00
PRESTIGE,2023-06-09,2023-07-14,534.32,389.23,27.15,0.113,5,stop,False,False,18.74,14.05,340759336.810434,2023,stop@554.48x1.00
QUESS,2023-11-10,2024-01-25,429.1,333.27,22.33,0.098,11,stop,False,False,15.45,9.51,146929931.46431732,2023,stop@441.52x1.00
RALLIS,2023-12-08,2024-02-16,245.69,182.87,25.57,-0.124,10,stop,False,False,21.1,6.58,669906252.8478272,2023,stop@238.75x1.00
RAMCOCEM,2023-05-19,2023-07-21,837.9,636.04,24.09,0.287,9,stop,False,False,16.33,14.02,496105431.47998655,2023,stop@901.84x1.00
RBLBANK,2018-06-15,2018-09-21,541.18,428.6,20.8,0.163,14,stop,False,False,9.66,3.92,586739265.5882477,2018,stop@561.52x1.00
RCF,2022-04-01,2022-06-17,87.55,61.08,30.23,-0.316,11,stop,False,True,22.45,15.78,821388379.5741081,2022,stage3_half@84.03x0.50;stop@74.96x0.50
RCF,2023-10-20,2024-02-09,131.35,96.52,26.52,0.842,16,stop,False,False,21.62,15.54,993257504.5718807,2023,stop@161.18x1.00
RHIM,2023-12-22,2024-02-09,801.74,599.81,25.19,-0.505,7,stop,False,True,18.72,1.89,205756372.55935365,2023,stage3_half@714.62x0.50;stop@695.45x0.50
RITES,2022-09-02,2022-12-16,130.64,97.49,25.38,0.835,15,stop,False,False,17.27,13.9,79738356.3517807,2022,stop@159.36x1.00
ROUTE,2024-06-28,2024-07-26,1782.31,1354.82,23.99,-0.281,4,stop,True,False,16.31,2.38,1289526169.9294922,2024,stop@1668.46x1.00
SAIL,2023-09-08,2023-09-29,95.67,75.07,21.54,-0.289,3,stop,False,False,15.83,7.92,1923114497.6651986,2023,stop@90.06x1.00
SBFC,2025-04-25,2025-08-01,106.15,77.61,26.89,-0.153,14,stop,False,True,22.5,22.02,338038364.56776124,2025,stage3_half@103.05x0.50;stop@102.00x0.50
SBILIFE,2022-07-29,2022-09-30,1284.82,994.22,22.62,-0.147,9,stop,False,False,13.01,11.81,1479989741.6569824,2022,stop@1246.70x1.00
SCHAEFFLER,2023-09-08,2023-10-27,3488.73,2619.66,24.91,-0.611,7,stop,False,False,22.91,11.75,329887381.917627,2023,stop@2980.66x1.00
SCHAEFFLER,2024-05-03,2024-08-09,3713.85,2548.63,31.37,0.078,14,stop,False,True,22.97,11.89,455364639.13753664,2024,stage3_half@3929.24x0.50;stop@3732.54x0.50
SHOPERSTOP,2024-07-12,2024-10-25,851.5,667.4,21.62,-0.664,15,stop,False,True,18.56,1.75,141312097.4344055,2024,stage3_half@772.75x0.50;stop@697.00x0.50
SHRIRAMFIN,2020-02-07,2020-03-13,216.06,164.59,23.83,-1.013,5,stop,False,False,12.66,6.75,1835016524.4512649,2020,stop@164.59x1.00
SHRIRAMFIN,2023-06-23,2023-10-27,321.64,225.05,30.03,0.285,18,stop,False,True,31.37,24.09,3080350930.000366,2023,stage3_half@354.67x0.50;stop@346.00x0.50
SHYAMMETL,2023-06-16,2023-10-27,336.74,250.35,25.65,1.111,19,stop,False,True,15.76,9.08,134968287.950325,2023,stage3_half@444.30x0.50;stop@426.59x0.50
SJVN,2022-09-16,2022-12-23,28.97,22.9,20.96,0.499,14,stop,False,False,13.15,11.23,115430807.73787174,2022,stop@32.22x1.00
STAR,2017-02-03,2017-03-31,1041.73,800.49,23.16,-0.299,8,stop,False,False,10.65,4.63,533749739.18777466,2017,stop@973.15x1.00
SUDARSCHEM,2019-10-27,2019-11-22,386.55,278.71,27.9,-0.193,4,stop,False,False,22.63,17.62,52387998.43973084,2019,stop@368.42x1.00
SUMICHEM,2024-05-31,2024-10-25,461.88,334.82,27.51,0.419,21,stop,False,False,16.3,6.04,634755086.670407,2024,stop@516.95x1.00
SUMICHEM,2025-07-18,2025-08-29,604.92,445.29,26.39,-0.232,6,stop,False,False,15.33,11.68,310130222.5798828,2025,stop@572.05x1.00
SUPRAJIT,2024-06-07,2024-07-26,470.48,352.09,25.16,0.177,7,stop,False,False,18.47,5.46,203400104.49590605,2024,stop@494.87x1.00
SUPREMEIND,2019-09-27,2019-11-01,1124.94,877.08,22.03,-0.189,5,stop,False,False,11.63,9.38,53334348.72800598,2019,stop@1085.89x1.00
SUVENPHAR,2023-08-18,2023-10-27,520.5,463.3,10.99,0.365,10,stop,False,False,9.31,3.54,353061379.6455765,2023,stop@545.10x1.00
SWSOLAR,2023-07-21,2023-09-29,365.05,262.0,28.23,-0.207,10,stop,False,False,23.99,12.96,805130102.046579,2023,stop@345.00x1.00
SYMPHONY,2020-02-07,2020-03-13,1270.5,999.93,21.3,-1.029,5,stop,False,False,9.14,3.95,61933589.54968872,2020,stop@999.93x1.00
SYMPHONY,2022-04-08,2022-05-13,1149.92,859.11,25.29,-0.439,5,stop,False,False,17.87,8.86,149782001.18348998,2022,stop@1029.88x1.00
SYNGENE,2019-05-31,2019-07-12,331.09,247.18,25.34,-0.336,6,stop,False,False,14.08,5.57,135309329.89520875,2019,stop@305.11x1.00
SYNGENE,2023-04-28,2023-10-20,671.49,540.57,19.5,0.622,25,stop,False,False,15.32,11.91,475563467.2531006,2023,stop@757.99x1.00
