,blend
2020-07-30,-0.0017870373014755555
2020-07-31,0.0038710931351298725
2020-08-03,0.007362549941106631
2020-08-04,0.0022127889664605637
2020-08-05,0.0006341803562201057
2020-08-06,0.008985238164668502
2020-08-07,0.008311468871586868
2020-08-10,0.009012135449478811
2020-08-11,-0.006649187889353331
2020-08-12,-0.007503920795603051
2020-08-13,0.0074239094858006855
2020-08-14,-0.010509243709303749
2020-08-17,0.020681387738960656
2020-08-18,-0.00013895266949706317
2020-08-19,0.0016511696295840865
2020-08-20,-0.0006553064986714603
2020-08-21,0.004409195812638529
2020-08-24,0.013560643862067692
2020-08-25,0.0060369297658111705
2020-08-26,0.003477686276496247
2020-08-27,-0.0032844390667194356
2020-08-28,-0.007629600042178931
2020-08-31,-0.03025020431422237
2020-09-01,0.0031778762052048688
2020-09-02,0.00972443323379895
2020-09-03,0.005481086062556489
2020-09-04,-0.011090857878218372
2020-09-07,-0.003453873101493968
2020-09-08,-0.0067375065160523795
2020-09-09,-0.003667185994112634
2020-09-10,0.008822802401569131
2020-09-11,0.007661985806585408
2020-09-14,0.01612732637827325
2020-09-15,0.008788203036072336
2020-09-16,0.008581123392161081
2020-09-17,-0.004893888865399565
2020-09-18,-0.010478787680382639
2020-09-21,-0.02566413582127207
2020-09-22,-0.01162726361828673
2020-09-23,-0.006208286029165403
2020-09-24,-0.015544862897850195
2020-09-25,0.01750643548953461
2020-09-28,0.01583557808815183
2020-09-29,-0.008580774447137292
2020-09-30,0.004949119863646503
2020-10-01,0.008212670114990685
2020-10-05,0.0018635253582795688
2020-10-06,0.008219220508837007
2020-10-07,0.023536154012843518
2020-10-08,-0.009511453269667113
2020-10-09,-0.007295834964212501
2020-10-12,-0.0035176663156234597
2020-10-13,0.0001329176752804407
2020-10-14,-0.004502066961686612
2020-10-15,-0.009523496862501098
2020-10-16,0.0022394303107058254
2020-10-19,0.00767240712833925
2020-10-20,0.00048088824712901653
2020-10-21,-0.00019299323763334597
2020-10-22,0.005190322653246602
2020-10-23,0.009698634824919474
2020-10-26,-0.014336936070639145
2020-10-27,0.01305110870625925
2020-10-28,-0.00678285134887766
2020-10-29,0.00025913861059449154
2020-10-30,-0.008311765124125955
2020-11-02,-0.0013147935868710412
2020-11-03,0.008809966775325851
2020-11-04,0.0017090739081011663
2020-11-05,0.010456835996128356
2020-11-06,0.009182026900919472
2020-11-09,0.002888713679550458
2020-11-10,-0.012522352699084397
2020-11-11,0.010365822283495245
2020-11-12,0.003909497424670233
2020-11-13,-0.0006170259872147533
2020-11-14,0.004726767608537975
2020-11-17,-0.0028836580536809693
2020-11-18,-0.000929125904118619
2020-11-19,-0.005861640511303742
2020-11-20,0.004943999945603875
2020-11-23,0.007164176673991633
2020-11-24,0.002456822670480594
2020-11-25,-0.01340423610860287
2020-11-26,0.00968605753249634
2020-11-27,0.003720188059207635
2020-12-01,0.005671499030399336
2020-12-02,0.011997157013958145
2020-12-03,0.010214707668091086
2020-12-04,0.006900749253422873
2020-12-07,0.007728609441735632
2020-12-08,-0.0033045619677694745
2020-12-09,0.007757586115175422
2020-12-10,-0.0077471679246701826
2020-12-11,0.0010397320722686102
2020-12-14,0.0046246176070452606
2020-12-15,-0.0062845410521275465
2020-12-16,0.010025431485385955
2020-12-17,-0.001518940982128461
2020-12-18,0.005872802994060422
2020-12-21,-0.030524873964239967
2020-12-22,-0.0023938950748372077
2020-12-23,0.017869201392968555
2020-12-24,0.000838881666329738
2020-12-28,0.008281675369587467
2020-12-29,-0.006155354552056154
2020-12-30,0.0029223066936099502
2020-12-31,0.0013940213875404028
2021-01-01,0.006671575859428012
2021-01-04,0.010217256415364626
2021-01-05,0.008523001043762628
2021-01-06,0.00017371682507140267
2021-01-07,0.008443902667370745
2021-01-08,0.0055028618431814166
2021-01-11,-0.0025926071042504484
2021-01-12,-0.0029224201140102156
2021-01-13,-0.003901209267089275
2021-01-14,-0.0020554266294853683
2021-01-15,-0.008354065985108901
2021-01-18,-0.006729561263102262
2021-01-19,0.004959344501654213
2021-01-20,0.000338729944021596
2021-01-21,-0.0009329100626420575
2021-01-22,-0.003807451689005714
2021-01-25,-0.00573924366292559
2021-01-27,-0.014297241396900372
2021-01-28,-0.0012847254266577057
2021-01-29,-0.00785361630884952
2021-02-01,0.005541720133156247
2021-02-02,0.0038001582134891093
2021-02-03,0.0005983680079781441
2021-02-04,0.003948645933243825
2021-02-05,-0.0068331519971717835
2021-02-08,-0.00319008998027501
2021-02-09,-0.0010520743383725076
2021-02-10,0.0028829158975989073
2021-02-11,0.02432924909755749
2021-02-12,-0.0016912028182343732
2021-02-15,-0.005997284719499093
2021-02-16,-0.004789086001780573
2021-02-17,-0.004263405175331718
2021-02-18,-0.004149694565726382
2021-02-19,-0.0036347615742570627
2021-02-22,-0.014716818670006787
2021-02-23,-0.0016059667983250503
2021-02-24,0.007851000944656177
2021-02-25,0.0025131106237066434
2021-02-26,-0.004944565696871824
2021-03-01,0.0016235766105529535
2021-03-02,0.014503082799135241
2021-03-03,-3.9518864774110065e-05
2021-03-04,-0.0009757650234537204
2021-03-05,-0.004543995182111036
2021-03-08,0.004854171394909659
2021-03-09,0.0051710391142640935
2021-03-10,0.013508792740880765
2021-03-12,-0.010908818355441597
2021-03-15,-0.004311923833235351
2021-03-16,0.003989209633402645
2021-03-17,-0.011121992201224023
2021-03-18,-0.010640287565826434
2021-03-19,0.006093277978793025
2021-03-22,0.010802042433814302
2021-03-23,0.008732319487769324
2021-03-24,-0.004923005918593233
2021-03-25,-0.013568441978819975
2021-03-26,0.005195077023457152
2021-03-30,0.010677879918844327
2021-03-31,-0.00675683247224918
2021-04-01,0.006366869706443802
2021-04-05,-0.013724986688167417
2021-04-06,0.006917327669940631
2021-04-07,0.011451360986304575
2021-04-08,0.009842554501109435
2021-04-09,0.010524230554882965
2021-04-12,-0.035236784676534905
2021-04-13,0.014889544269140884
2021-04-15,-0.007589329692945408
2021-04-16,0.006382252986725581
2021-04-19,-0.01591855744027771
2021-04-20,-0.0002902720697471649
2021-04-22,0.0063414843579669734
2021-04-23,0.003284627735394733
2021-04-26,-0.0006877190081412679
2021-04-27,0.012101614723509128
2021-04-28,0.004702750949892179
2021-04-29,-0.0036568970316411507
2021-04-30,-0.0031264850890398805
2021-05-03,0.014102491753255954
2021-05-04,-0.001722487152008703
2021-05-05,0.020872899034477914
2021-05-06,0.00450341099071176
2021-05-07,-0.010964731087096564
2021-05-10,0.008615379701549387
2021-05-11,0.0047180375115681026
2021-05-12,-0.0027696005811810643
2021-05-14,0.005200347432582906
2021-05-17,0.009879965729986735
2021-05-18,0.0011151648161320453
2021-05-19,-0.005135486683196534
2021-05-20,-0.006873747156950255
2021-05-21,0.0032810903307626134
2021-05-24,0.001542273883353177
2021-05-25,0.006718445515511158
2021-05-26,0.00802852240451464
2021-05-27,0.0027097667445261818
2021-05-28,-0.0014492126257577452
2021-05-31,0.0012753215914554994
2021-06-01,-0.004352634585360482
2021-06-02,0.006263449976107892
2021-06-03,0.005150189103015656
2021-06-04,-0.00419422871666391
2021-06-07,0.008467067083945826
2021-06-08,0.018746831123521362
2021-06-09,0.0018986302173208706
2021-06-10,0.009796981507424907
2021-06-11,0.0011901916165722912
2021-06-14,-0.004275496125298452
2021-06-15,0.013319155891923153
2021-06-16,-0.006306073799278238
2021-06-17,-0.00719133279165481
2021-06-18,-0.0035664834148574306
2021-06-21,-0.001690190886208445
2021-06-22,0.003188598112753657
2021-06-23,-0.0047457641624669925
2021-06-24,-7.663736534381776e-05
2021-06-25,0.0033132550337107583
2021-06-28,-0.0009138342422919483
2021-06-29,0.0034993655532530115
2021-06-30,-0.0010908762743373106
2021-07-01,0.0068055842863332505
2021-07-02,0.007216938567193428
2021-07-05,0.006698016634866512
2021-07-06,-0.005430419527883019
2021-07-07,0.009961621143473029
2021-07-08,-0.005203398288760543
2021-07-09,-0.0007305499543808886
2021-07-12,-0.000104913662175642
2021-07-13,0.0009802046962868443
2021-07-14,0.002950760252244506
2021-07-15,0.006059416646077583
2021-07-16,-0.0017925722516816565
2021-07-19,0.004739047478407196
2021-07-20,-0.004591430062450018
2021-07-22,0.005631331638174686
2021-07-23,0.012279629305201777
2021-07-26,0.0008807186129822543
2021-07-27,-0.00860464327556508
2021-07-28,-0.002723792804088064
2021-07-29,-0.002335061698460124
2021-07-30,0.009815471970270466
2021-08-02,0.014365523838136333
2021-08-03,0.01036882346770838
2021-08-04,-0.00697805856093831
2021-08-05,0.000807870005790124
2021-08-06,-0.002897379706713405
2021-08-09,-0.005846779757434891
2021-08-10,-0.0042937714380183005
2021-08-11,-0.0049795085345906275
2021-08-12,0.003008320249970019
2021-08-13,0.000513916020781313
2021-08-16,0.002089151415840927
2021-08-17,0.0077865020316007765
2021-08-18,-0.004452147957211826
2021-08-20,-0.011888140688244014
2021-08-23,-0.008012301566168301
2021-08-24,0.0063421619970856
2021-08-25,0.001171134872627507
2021-08-26,0.004899678811096738
2021-08-27,0.0010323439589039018
2021-08-30,0.007891785928678747
2021-08-31,-0.0013392904066059346
2021-09-01,0.006232336872092522
2021-09-02,0.014844009553159319
2021-09-03,0.012421519811568506
2021-09-06,0.011220381399364921
2021-09-07,-0.0023151210189515364
2021-09-08,-0.0005052408535848841
2021-09-09,-0.0018076031480349945
2021-09-13,0.006562581938123664
2021-09-14,0.006703051498297744
2021-09-15,0.005524733101366669
2021-09-16,0.008774432723672244
2021-09-17,-0.01082285168900322
2021-09-20,-0.00573056370798885
2021-09-21,0.005491182059646942
2021-09-22,0.004767527727350253
2021-09-23,0.009952924685217312
2021-09-24,0.001072207643405651
2021-09-27,0.009043343049584245
2021-09-28,-0.004040020339125329
2021-09-29,0.0033276840192608716
2021-09-30,0.002411679212347971
2021-10-01,8.756337446760897e-05
2021-10-04,0.006195026636267687
2021-10-05,0.0006874313098936811
2021-10-06,-0.010869985629629729
2021-10-07,0.011768750962804882
2021-10-08,0.0070147639015083925
2021-10-11,0.005242366834789831
2021-10-12,0.010805540908437572
2021-10-13,0.015547397641646588
