ticker,from_date,to_date
MINDACORP,2023-09-05,2030-12-31
MINDTREE,2011-01-01,2022-07-22
MMTC,2011-04-20,2030-12-31
MOIL,2011-06-06,2023-01-05
MOTHERSON,2011-04-20,2021-06-14
MOTHERSON,2022-07-22,2030-12-31
MOTILALOFS,2011-04-20,2030-12-31
MPHASIS,2011-04-20,2030-12-31
MRF,2011-04-20,2030-12-31
MRPL,2011-04-20,2030-12-31
MSUMI,2022-07-22,2030-12-31
MTARTECH,2021-06-14,2024-10-21
MUTHOOTFIN,2011-05-06,2030-12-31
NAM-INDIA,2017-11-06,2030-12-31
NATCOPHARM,2011-04-20,2030-12-31
NATIONALUM,2011-04-20,2030-12-31
NAUKRI,2011-04-20,2030-12-31
NAVA,2024-10-21,2030-12-31
NAVINFLUOR,2011-04-20,2030-12-31
NAVKARCORP,2015-09-09,2019-10-29
NAZARA,2021-06-14,2024-10-21
NBCC,2012-04-12,2030-12-31
NBVENTURES,2011-01-01,2021-06-14
NCC,2011-04-20,2030-12-31
NESCO,2011-06-06,2022-07-22
NESTLEIND,2019-10-29,2030-12-31
NETWEB,2024-10-21,2030-12-31
NETWORK18,2011-04-20,2019-10-29
NETWORK18,2021-06-14,2025-10-26
NEULANDLAB,2024-10-21,2030-12-31
NEWGEN,2024-10-21,2030-12-31
NFL,2011-06-06,2021-06-14
NH,2016-01-06,2030-12-31
NHPC,2011-04-20,2030-12-31
NIACL,2017-11-13,2030-12-31
NIITLTD,2022-07-22,2023-01-05
NILKAMAL,2011-06-06,2021-06-14
NIVABUPA,2024-10-21,2030-12-31
NLCINDIA,2011-04-20,2030-12-31
NMDC,2011-04-20,2022-07-22
NMDC,2023-01-05,2030-12-31
NOCIL,2021-06-14,2023-09-05
NSLNISP,2023-09-05,2030-12-31
NTPC,2011-04-20,2030-12-31
NTPCGREEN,2024-10-21,2030-12-31
NUVAMA,2024-10-21,2030-12-31
NUVOCO,2021-06-14,2024-10-21
NUVOCO,2025-10-26,2030-12-31
NYKAA,2021-06-14,2030-12-31
OBEROIRLTY,2011-04-20,2030-12-31
OFSS,2011-04-20,2030-12-31
OIL,2011-04-20,2030-12-31
OLAELEC,2024-10-21,2030-12-31
OLECTRA,2022-07-22,2030-12-31
OMAXE,2011-06-06,2021-06-14
ONESOURCE,2025-10-26,2030-12-31
ONGC,2011-04-20,2030-12-31
ORIENTBANK,2011-01-01,2020-04-01
ORIENTCEM,2013-07-12,2021-06-14
ORIENTELEC,2019-10-29,2024-10-21
ORIENTREF,2019-10-29,2021-06-14
PAGEIND,2011-04-20,2030-12-31
