SWAN ENERGY LIMITED (XNSE:SWANENERGY),SWANENERGY,SWANENERGY.NS,,,,,,,,,,,,
DLF Limited (XNSE:DLF),DLF,DLF.NS,,,,,,,,,,,,
ZYDUS LIFESCIENCES LIMITED (XNSE:ZYDUSLIFE),ZYDUSLIFE,ZYDUSLIFE.NS,,,,,,,,,,,,
Life Insurance Corporation of India (XNSE:LICI),LICI,LICI.NS,,,,,,,,,,,,
EICHER MOTORS LIMITED (XNSE:EICHERMOT),EICHERMOT,EICHERMOT.NS,,,,,,,,,,,,
AJANTA PHARMA LIMITED (XNSE:AJANTPHARM),AJANTPHARM,AJANTPHARM.NS,,,,,,,,,,,,
ERIS LIFESCIENCES LIMITED (XNSE:ERIS),ERIS,ERIS.NS,,,,,,,,,,,,
SUN PHARMACEUTICAL INDUSTRIES LIMITED (XNSE:SUNPHARMA),SUNPHARMA,SUNPHARMA.NS,,,,,,,,,,,,
ADANI POWER LIMITED (XNSE:ADANIPOWER),ADANIPOWER,ADANIPOWER.NS,,,,,,,,,,,,
NATIONAL ALUMINIUM CO LTD (XNSE:NATIONALUM),NATIONALUM,NATIONALUM.NS,,,,,,,,,,,,
ZENSAR TECHNOLOGIES LIMITED (XNSE:ZENSARTECH),ZENSARTECH,ZENSARTECH.NS,,,,,,,,,,,,
JIO FINANCIAL SERVICES LIMITED (XNSE:JIOFIN),JIOFIN,JIOFIN.NS,,,,,,,,,,,,
APOLLO HOSPITALS ENTERPRISE LIMITED (XNSE:APOLLOHOSP),APOLLOHOSP,APOLLOHOSP.NS,,,,,,,,,,,,
MphasiS Limited (XNSE:MPHASIS),MPHASIS,MPHASIS.NS,,,,,,,,,,,,
SOBHA LIMITED (XNSE:SOBHA),SOBHA,SOBHA.NS,,,,,,,,,,,,
AMARA RAJA ENERGY & MOBILITY LIMITED (XNSE:ARE&M),ARE&M,ARE&M.NS,,,,,,,,,,,,
SUN TV NETWORK LIMITED (XNSE:SUNTV),SUNTV,SUNTV.NS,,,,,,,,,,,,
JUBILANT INGREVIA LIMITED (XNSE:JUBLINGREA),JUBLINGREA,JUBLINGREA.NS,,,,,,,,,,,,
IRB INFRASTRUCTURE DEVELOPERS LIMITED (XNSE:IRB),IRB,IRB.NS,,,,,,,,,,,,
CRISIL Limited (XNSE:CRISIL),CRISIL,CRISIL.NS,,,,,,,,,,,,
IDFC FIRST BANK LIMITED (XNSE:IDFCFIRSTB),IDFCFIRSTB,IDFCFIRSTB.NS,,,,,,,,,,,,
GMR AIRPORTS LIMITED (XNSE:GMRAIRPORT),GMRAIRPORT,GMRAIRPORT.NS,,,,,,,,,,,,
JSW INFRASTRUCTURE LIMITED (XNSE:JSWINFRA),JSWINFRA,JSWINFRA.NS,,,,,,,,,,,,
TATA CONSULTANCY SERVICES LIMITED (XNSE:TCS),TCS,TCS.NS,,,,,,,,,,,,
AEGIS LOGISTICS LIMITED (XNSE:AEGISLOG),AEGISLOG,AEGISLOG.NS,,,,,,,,,,,,
Bharti Airtel Limited (XNSE:BHARTIARTL),BHARTIARTL,BHARTIARTL.NS,,,,,,,,,,,,
