ticker,entry_date,exit_date,days_held,entry,exit,qty,reason,return_pct,pnl
AEGISLOG,2023-01-27,2023-02-10,10,330.03,343.45,1337,trailing,4.07,16770.9
RAYMOND,2023-01-30,2023-02-22,17,514.39,429.07,461,stop,-16.59,-39897.14
VBL,2023-01-31,2023-04-05,43,239.28,291.56,2967,target,21.85,153068.17
ATGL,2023-02-01,2023-02-13,8,1949.3,1190.42,244,stop,-38.93,-186162.86
CEATLTD,2023-02-01,2023-05-09,63,1535.08,1655.7,122,time,7.86,14210.29
HAL,2023-02-06,2023-02-23,13,1130.48,1220.28,761,trailing,7.94,66015.79
SOLARINDS,2023-02-06,2023-05-12,63,3906.75,3705.93,13,time,-5.14,-2739.32
GESHIP,2023-02-07,2023-05-15,63,541.07,644.1,719,time,19.04,72971.05
AEGISLOG,2023-02-13,2023-03-13,19,343.17,357.0,1335,trailing,4.03,17253.58
APOLLOTYRE,2023-02-14,2023-05-15,58,319.2,348.61,908,trailing,9.21,25918.41
CGPOWER,2023-02-20,2023-05-26,63,316.22,385.31,3,target,21.85,204.54
RVNL,2023-02-23,2023-03-14,12,60.1,60.79,12814,trailing,1.16,6911.76
HAL,2023-02-24,2023-03-16,13,1226.5,1307.59,76,trailing,6.61,5912.32
RAYMOND,2023-02-24,2023-04-24,36,464.18,564.64,1794,target,21.64,177820.65
GODFRYPHLP,2023-03-13,2023-06-15,63,604.34,553.48,4,time,-8.42,-209.47
AEGISLOG,2023-03-14,2023-03-28,10,360.37,364.79,1319,trailing,1.23,4584.76
RVNL,2023-03-15,2023-04-18,20,61.63,75.1,12611,target,21.85,167573.28
JSL,2023-03-17,2023-04-12,15,314.82,260.74,320,stop,-17.18,-17543.33
MAZDOCK,2023-03-27,2023-05-02,21,312.61,380.26,2442,target,21.64,163010.81
AEGISLOG,2023-03-29,2023-05-11,26,367.13,375.05,1,trailing,2.16,6.96
FINCABLES,2023-03-29,2023-05-24,35,778.48,854.49,616,trailing,9.76,45516.92
VBL,2023-04-06,2023-06-08,42,288.36,313.63,2992,trailing,8.76,73267.19
JSL,2023-04-13,2023-05-12,19,262.78,273.69,317,trailing,4.15,3237.34
KALYANKJIL,2023-04-13,2023-06-16,44,103.11,129.98,1,target,26.05,26.56
TRITURBINE,2023-04-18,2023-05-03,10,330.55,335.56,2708,trailing,1.52,11230.81
RVNL,2023-04-19,2023-05-04,10,74.36,127.39,12118,target,71.31,639413.52
NCC,2023-04-25,2023-05-10,10,112.31,113.21,8685,trailing,0.81,5314.2
MAZDOCK,2023-05-03,2023-06-05,23,380.78,479.69,2719,target,25.97,265876.91
TRITURBINE,2023-05-04,2023-05-19,11,338.76,369.7,2676,trailing,9.13,80311.5
RVNL,2023-05-05,2023-05-19,10,126.72,114.48,8357,trailing,-9.66,-104948.77
KPITTECH,2023-05-10,2023-06-01,16,871.2,1083.17,782,target,24.33,163767.84
NCC,2023-05-11,2023-05-23,8,114.25,99.21,8591,stop,-13.16,-131547.76
AEGISLOG,2023-05-12,2023-06-02,15,374.65,322.98,1,stop,-13.79,-52.58
JSL,2023-05-15,2023-05-30,11,274.18,278.46,490,trailing,1.56,1747.31
SONATSOFTW,2023-05-16,2023-06-23,28,429.4,467.77,1811,trailing,8.94,67375.1
TRITURBINE,2023-05-22,2023-06-05,10,372.46,377.93,2393,trailing,1.47,10744.39
RVNL,2023-05-22,2023-06-23,24,114.89,119.36,9138,trailing,3.89,38030.66
