tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:DEEPAKFERT,A,2025-09-19,4.28,0.61,6.65,2025-09-22,1455.1,1395.0,4.13,10.77,0.06,2025-10-20,1444.0,-0.76,-0.18,9.81,2.37,-3.79,wk20,4.0,
NSE:GILLETTE,A,2025-09-19,4.35,0.48,6.57,2025-09-22,10080.72,9700.62,3.77,11.17,0.07,2025-09-29,9433.17,-6.42,-1.7,0.39,0.1,-8.16,stop,1.0,
NSE:KPRMILL,A,2025-09-19,10.9,0.92,13.28,2025-09-22,1128.4,1015.56,10.0,10.73,0.05,2025-10-13,1001.5,-11.25,-1.12,1.19,0.12,-12.91,stop,3.0,
NSE:UNIONBANK,A,2025-09-19,5.56,0.74,6.59,2025-09-22,140.35,132.5,5.59,13.07,0.07,2026-03-16,172.2,22.69,3.03,46.41,8.3,-4.6,trail,25.0,
NSE:REDINGTON,B,2025-09-19,19.59,0.76,30.46,2025-09-24,285.0,256.5,10.0,17.86,0.16,2025-11-03,255.65,-10.3,-1.03,5.22,0.52,-11.93,stop,5.7,
NSE:EIDPARRY,B,2025-10-03,4.14,0.28,4.78,2025-10-07,1042.0,998.8,4.15,11.04,0.08,2026-01-12,934.0,-10.36,-2.5,7.29,1.76,-11.56,stop,13.9,
NSE:ABSLAMC,B,2025-10-03,5.26,0.81,5.8,2025-10-08,815.0,771.05,5.39,10.93,0.09,2025-11-03,762.0,-6.5,-1.21,8.5,1.58,-7.24,stop,3.7,
NSE:BSE,A,2025-10-10,11.87,0.91,14.65,2025-10-13,2375.0,2137.5,10.0,11.89,0.06,2025-12-22,2698.2,13.61,1.68,24.63,2.46,-2.06,trail,10.0,
NSE:CEATLTD,A,2025-10-10,3.22,0.2,4.15,2025-10-13,3537.0,3425.8,3.14,10.33,0.06,2025-11-24,3887.1,9.9,2.57,25.47,8.1,-2.59,trail,6.0,
NSE:KIMS,A,2025-10-17,3.84,0.57,6.61,2025-10-20,725.6,692.25,4.6,9.85,0.02,2025-11-17,661.3,-8.86,-1.93,2.37,0.52,-9.04,stop,4.0,
NSE:SBFC,A,2025-10-17,6.72,0.67,8.27,2025-10-20,112.8,105.25,6.69,13.19,0.06,2025-12-22,105.0,-6.91,-1.03,9.04,1.35,-9.26,stop,9.0,
NSE:SRF,A,2025-10-17,5.64,0.74,7.34,2025-10-20,3163.56,2985.09,5.64,9.84,0.02,2025-11-03,2904.64,-8.18,-1.45,1.2,0.21,-8.18,stop,2.0,
NSE:BHARTIHEXA,B,2025-10-17,5.28,0.63,6.16,2025-10-21,1802.0,1720.3,4.53,11.73,0.05,2025-12-15,1684.9,-6.5,-1.43,8.52,1.88,-7.88,stop,7.9,
NSE:COCHINSHIP,A,2025-10-24,2.48,0.29,4.78,2025-10-27,1818.44,1770.76,2.62,9.52,0.02,2025-11-10,1721.79,-5.31,-2.03,0.62,0.24,-8.79,stop,2.0,
NSE:SARDAEN,A,2025-10-24,4.97,0.2,9.78,2025-10-27,539.2,512.4,4.97,10.02,0.03,2025-11-24,486.0,-9.87,-1.98,7.29,1.47,-12.83,stop,4.0,
NSE:GLENMARK,A,2025-10-31,5.21,0.68,6.26,2025-11-03,1889.1,1792.6,5.11,12.21,0.06,2026-05-25,2268.1,20.06,2.96,30.96,6.06,-4.64,trail,29.0,
NSE:WELCORP,A,2025-10-31,13.18,0.85,17.47,2025-11-03,966.79,870.11,10.0,15.9,0.09,2025-11-24,865.78,-10.45,-1.04,2.35,0.24,-12.98,stop,3.0,
NSE:DEEPAKFERT,A,2025-10-31,3.79,0.49,7.41,2025-11-03,1485.0,1435.1,3.36,10.52,0.04,2025-11-10,1424.9,-4.05,-1.2,2.35,0.7,-6.66,stop,1.0,
NSE:BRITANNIA,A,2025-11-07,6.21,0.78,7.21,2025-11-10,6190.0,5775.0,6.7,14.16,0.08,2026-03-23,5590.0,-9.69,-1.45,1.31,0.2,-11.54,stop,19.0,
NSE:REDINGTON,A,2025-11-07,14.55,0.76,19.16,2025-11-10,289.0,260.1,10.0,13.91,0.08,2026-01-27,251.5,-12.98,-1.3,6.16,0.62,-15.22,stop,11.1,
NSE:INDIGO,A,2025-11-14,6.22,0.77,7.16,2025-11-17,5900.0,5541.0,6.08,10.61,0.03,2025-12-08,5110.0,-13.39,-2.2,1.19,0.19,-17.92,stop,3.0,
NSE:JSL,A,2025-11-14,2.97,0.04,5.46,2025-11-17,740.68,715.21,3.44,9.97,0.03,2026-01-12,769.05,3.83,1.56,19.2,5.58,-1.64,trail,8.0,
NSE:NBCC,A,2025-11-14,5.12,0.07,7.66,2025-11-17,114.35,107.96,5.59,12.19,0.05,2026-01-19,103.22,-9.73,-1.74,9.92,1.77,-11.16,stop,9.0,
NSE:NESTLEIND,A,2025-11-21,2.19,0.24,2.9,2025-11-24,1278.1,1245.87,2.52,9.31,0.02,2025-12-08,1240.2,-2.97,-1.18,0.06,0.02,-5.62,stop,2.0,
NSE:NH,A,2025-11-21,10.47,0.79,14.43,2025-11-24,2043.5,1839.15,10.0,17.28,0.08,2026-01-27,1755.3,-14.1,-1.41,0.9,0.09,-16.56,stop,9.1,
NSE:TATACONSUM,B,2025-11-21,2.88,0.45,3.31,2025-11-26,1140.35,1139.36,0.09,6.11,0.02,2026-01-05,1155.22,1.3,8.5,4.5,51.89,-1.57,blowoff_half,5.7,
NSE:JSWSTEEL,A,2025-11-28,4.83,0.27,6.18,2025-12-01,1164.9,1104.3,5.2,11.09,0.03,2025-12-22,1085.0,-6.86,-1.32,1.73,0.33,-7.87,stop,3.0,
NSE:BAJFINANCE,A,2025-11-28,5.42,0.51,6.48,2025-12-01,1035.53,975.3,5.82,12.51,0.04,2026-01-12,952.94,-7.98,-1.37,1.83,0.32,-9.79,stop,6.0,
NSE:APLAPOLLO,A,2025-12-05,3.33,0.62,4.05,2025-12-08,1776.9,1712.0,3.65,7.8,0.0,2026-02-02,2064.0,16.16,3.21,21.06,5.77,-3.73,blowoff_half,8.0,
NSE:NMDC,A,2025-12-05,3.39,0.69,4.43,2025-12-08,74.1,71.69,3.25,9.86,0.03,2026-01-12,78.44,5.86,1.9,13.58,4.17,-4.1,blowoff_half,5.0,
