ticker,entry_date,qty,basis,pnl,entry_px,last_exit,days_held,n_sells,n_trims,final_reason,nms,rank_in_band,n_rankable,mr12,mr6,turnover,return_pct,exit_px_eff
EASEMYTRIP,2023-01-02,3113,81967.7804,-681.9976,26.3308,2023-02-01,21,1,0,rebalance_exit,1.6922106825741436,27.0,150,1.7651276955751596,0.5776426043639074,730257807.8511047,-0.8320313136111223,26.111719498875683
IIFL,2023-01-02,173,81885.6575,4447.6879,473.3275,2023-02-01,21,1,0,rebalance_exit,1.94608738430644,21.0,150,1.6355285851829882,1.0160342156498483,226579531.2199402,5.43158354685007,499.0366786127168
GICRE,2023-02-01,609,99982.4532,-14068.2903,164.1748,2023-05-02,58,2,1,rebalance_exit,1.9785447868865105,22.000000000000004,150,0.8102284647351714,1.2493682801767525,299867850.08758545,-14.070759267987235,141.07415911330048
TIINDIA,2023-02-01,37,95757.39779999999,7819.967299999999,2608.1738,2023-06-01,80,3,2,rebalance_exit,2.0048903756192766,20.000000000000007,150,1.5290051980035746,0.7714383238663665,765775663.34375,8.166436724119084,2799.388245945946
BLS,2023-02-01,591,105757.6933,13277.046900000001,179.8889,2023-07-03,101,3,2,rebalance_exit,3.2054116335651357,4.999999999999993,150,3.88779353656126,0.7091867136949462,268434696.7052307,12.55421377463043,201.41241996615906
JSL,2023-02-01,393,100750.948,9448.5543,253.5954,2023-05-02,58,5,4,rebalance_exit,2.4704396280195846,10.999999999999998,150,0.3827558244865776,2.2198032827229426,241872337.68234253,9.378129424648192,280.4058582697201
PIIND,2023-02-01,27,80644.39110000001,3400.0815000000002,2986.8293,2023-03-01,20,2,1,rebalance_exit,1.681265989568231,30.000000000000004,150,1.4298296937538524,0.4047731542373225,774658512.1347656,4.216141325667471,3112.7582444444447
REDINGTON,2023-02-01,534,90819.6228,-5648.4242,170.0742,2023-06-01,80,1,0,rebalance_exit,1.7766254376526005,27.0,150,0.5701897700586774,1.147885271221533,516158041.6722107,-6.219387425158961,159.4966265917603
COCHINSHIP,2023-02-01,371,90419.9345,175.8052,243.7195,2023-05-02,58,2,1,rebalance_exit,2.79717634998529,7.000000000000005,150,1.6861598648565477,1.7302852655681935,779722530.8146973,0.19443190373025543,244.19336846361188
ADANIPOWER,2023-02-01,3061,120739.7542,-25626.8957,41.2822,2023-03-01,20,2,1,rebalance_exit,2.177421394228104,14.0,150,3.1035122685439385,-0.120254166974322,575647141.6625214,-21.22490299056779,31.072479091800066
FACT,2023-02-01,363,105482.355,-30489.8773,290.585,2023-04-03,41,1,0,rebalance_exit,4.827379926961145,1.0,150,2.4419061445865937,3.935054685413693,377294288.1855469,-28.905192057951307,206.59084765840217
LEMONTREE,2023-02-01,1053,82950.07500000001,-1313.1426,78.775,2023-04-03,41,1,0,rebalance_exit,1.975847964741404,22.999999999999996,150,1.7113418030285454,0.6018995707261633,324281940.39196014,-1.5830517332262806,77.527950997151
NMDC,2023-02-01,2343,82827.393,-6372.0607,35.351,2023-04-03,41,1,0,rebalance_exit,1.9899776950498764,21.0,150,0.6451186568257552,1.3827917772804894,730169516.6948547,-7.693180322601727,32.63138382415706
PNBHOUSING,2023-02-01,246,116061.42689999999,33288.007900000004,463.945,2023-09-01,144,6,5,rebalance_exit,1.74924707193754,28.000000000000007,150,0.5876561225923357,1.0983918573360458,355605113.51312256,28.68137053724264,607.1115235772357
CENTRALBK,2023-02-01,3208,92627.1504,-18063.2063,28.8738,2023-04-03,41,1,0,rebalance_exit,2.6310075735965217,9.000000000000002,150,1.2256431906543066,1.8346611502828023,405129459.1376724,-19.500984562297408,23.24312471945137
NCC,2023-02-01,1401,144216.7598,96456.4735,88.6129,2024-02-01,245,11,10,rebalance_exit,1.9266286593310824,25.000000000000004,150,0.6471415769300279,1.2957018059845884,379815825.9005127,66.88298477497759,171.78674753747322
UCOBANK,2023-03-01,4029,101339.2785,5486.417,24.8645,2023-07-03,81,3,2,rebalance_exit,4.820324252379242,2.000000000000006,150,2.725465211460662,2.845819136289559,696352776.9935913,5.413909671756742,26.5141959543311
ENGINERSIN,2023-03-01,1142,77609.178,3363.9628000000002,67.959,2023-04-03,21,2,1,rebalance_exit,2.260919660380894,20.000000000000007,150,1.2061239917664768,0.8777603564024905,203714250.338562,4.3344909541497785,70.90467670753064
RVNL,2023-03-01,1475,86803.0729,65262.3485,55.5371,2023-06-01,60,7,6,rebalance_exit,4.93128951094617,1.0,150,3.129286098528427,2.71631865345492,570848348.937912,75.18437575958212,103.09520094915254
RECLTD,2023-03-01,787,77433.1661,31182.3063,98.3903,2023-07-03,81,3,2,rebalance_exit,2.067638480866628,28.000000000000007,150,1.3894238481003205,0.539679684747377,745814675.7544098,40.269961659232735,138.01203608640407
MAHABANK,2023-03-01,3791,87396.1487,13126.9307,22.7564,2023-07-03,81,2,1,rebalance_exit,2.770976728592905,10.000000000000009,150,1.373818468549227,1.3558444797003073,708186697.2498779,15.020033371333216,26.51624357689264
APOLLOTYRE,2023-03-01,336,107629.47469999999,11799.109199999999,302.334,2023-10-03,144,2,1,rebalance_exit,2.418316331176211,14.0,150,1.6135144555929424,0.7992156255095433,723857000.1407166,10.96271187134206,355.4422139880952
MAHINDCIE,2023-03-01,272,112662.9481,20272.063000000002,401.4509,2023-09-01,124,3,2,rebalance_exit,2.821632516955682,9.000000000000002,150,2.197641947745461,0.8902229138267068,275536919.1435547,17.99354920306759,488.7316584558824
APARINDS,2023-03-01,41,97879.0212,43314.5048,2275.1138,2023-08-01,102,4,3,rebalance_exit,2.177754345060046,24.0,150,2.2737339802331697,0.1037676780120466,235312873.25219727,44.253103748855224,3443.744536585366
TRITURBINE,2023-04-03,295,101940.2664,13927.6509,333.2984,2023-08-01,81,2,1,rebalance_exit,2.3767775984457558,17.000000000000004,150,1.53245325071961,0.8890561699899618,288118328.24246216,13.662560822972306,392.7726010169492
EQUITASBNK,2023-04-03,1656,119190.8982,31985.713499999998,65.8366,2023-12-01,163,5,4,rebalance_exit,2.375880482372193,17.999999999999993,150,0.9510752339221038,1.2552005860543058,240657459.67490387,26.835701369016114,91.29022445652174
FINCABLES,2023-04-03,118,95931.6046,25479.800499999998,812.9797,2023-08-01,81,2,1,rebalance_exit,3.2051257043997827,4.999999999999993,150,2.35182421512382,1.380025463645768,284075498.4135742,26.560381853552357,1028.9102127118645
ZYDUSLIFE,2023-04-03,211,107717.0968,46053.7393,505.0999,2024-02-01,204,3,2,rebalance_exit,2.387140895466779,15.999999999999996,150,1.309368875752699,1.0425885841796738,391984748.0412293,42.75434510225307,728.7717350710901
M&MFIN,2023-04-03,405,95351.4001,20039.6679,219.8997,2023-08-01,81,2,1,rebalance_exit,2.5719034912005507,12.000000000000004,150,1.606730260992885,1.0797093865402936,654159803.2489014,21.01664776708402,284.91621728395063
JBMA,2023-04-03,284,109362.3425,68164.1678,323.3618,2023-10-03,123,7,6,rebalance_exit,2.191931781117608,22.999999999999996,150,0.6160146654862352,1.2428840133070476,212900910.3102417,62.32873788342636,625.0933461267606
OIL,2023-04-03,619,95646.45629999999,-4158.5469,154.5177,2023-07-03,60,1,0,rebalance_exit,2.0211616572086823,28.000000000000007,150,0.3414936718791777,1.208371956976088,280292811.8007355,-4.347831650925473,147.79953053311792
SONATSOFTW,2023-04-03,226,93928.62759999999,21551.0048,404.0032,2023-08-01,81,2,1,rebalance_exit,2.404892899740063,14.0,150,0.8793527151156055,1.3358287224351746,225157787.1769409,22.94402180746863,510.971824778761
BOSCHLTD,2023-04-03,5,92352.9435,763.8555,18470.5887,2023-08-01,81,1,0,rebalance_exit,2.0594572854072686,25.999999999999996,150,1.28218012114279,0.6607984292612961,292672281.0,0.8271046607193414,18623.3598
IRFC,2023-04-03,3096,80516.4074,16763.3023,25.5277,2023-07-03,60,2,1,rebalance_exit,2.0698974425890304,25.000000000000004,150,0.9148329613980308,0.9055503079160446,727822075.3451958,20.819734562573146,31.421094864341082
SUPREMEIND,2023-04-03,31,76136.0,6932.1899,2456.0,2023-06-01,39,1,0,rebalance_exit,2.3942010978502,15.000000000000009,150,1.3363820648380866,1.0341212757691591,220930757.31567383,9.105009325417674,2679.619029032258
UNIONBANK,2023-04-03,1429,88058.1238,6188.7961,61.6222,2023-07-03,60,1,0,rebalance_exit,2.919199643163036,7.999999999999995,150,1.9049081322405323,1.314203793728952,668391721.0784912,7.028080809507322,65.95305801259623
PETRONET,2023-04-03,432,87836.1408,-2947.8955,203.3244,2023-07-03,60,1,0,rebalance_exit,1.946194862256232,30.000000000000004,150,1.0123735270331289,0.6933257525084503,377301635.14328,-3.3561304870079174,196.50056782407407
POLYCAB,2023-04-03,28,82519.0156,48619.380300000004,2947.1077,2023-08-01,81,3,2,rebalance_exit,2.0273319434320607,27.0,150,1.069354573081253,0.7561195333101054,690503993.7011719,58.9190018161099,4683.514139285714
IOB,2023-04-03,3480,79348.872,4572.7589,22.8014,2023-06-01,39,1,0,rebalance_exit,1.962956938590592,29.0,150,0.7591359409227437,0.8736956232991546,468825770.3608856,5.762853062359852,24.115411178160922
CGPOWER,2023-05-02,403,135894.5868,43108.5297,306.8926,2023-12-01,146,5,4,rebalance_exit,2.338012317226766,17.999999999999993,150,1.5186363499214273,0.4044049922270309,623374874.1363525,31.722035965600366,444.1764677419355
MAZDOCK,2023-05-02,221,81719.47940000001,48743.0196,369.7714,2023-07-03,43,3,2,rebalance_exit,2.194360486592857,21.0,150,1.8698807926441907,0.0206512447355539,580563054.9332886,59.64675736786448,590.3280497737557
MGL,2023-05-02,101,96200.4093,9065.4649,952.4793,2023-08-01,64,1,0,rebalance_exit,2.119107510461813,22.000000000000004,150,0.626042820569119,0.7312405885548781,321119212.0112915,9.423520093068877,1042.2363782178218
BANKINDIA,2023-05-02,1338,98938.27620000001,-8547.7984,73.9449,2023-07-03,43,1,0,rebalance_exit,2.4991748888928016,12.000000000000004,150,1.1017909983069345,0.8494847101049932,727893571.703125,-8.639526307008772,67.55641091180867
CYIENT,2023-05-02,116,154260.09889999998,63909.6191,1119.5275,2024-03-01,208,7,6,rebalance_exit,2.367159347983824,14.0,150,0.4444122996809962,1.1226182938039009,295912294.98547363,41.42977967454163,1880.7734310344827
