as_of,ticker,week_ending,weekly_close,weekly_low,weekly_high,sma44,close_above_sma,touch_ok,dist_to_sma_pct,is_signal,is_grade_a,crs_rank_dist
2026-07-31,BLS,2026-07-30,238.75,235.25,245.45,283.17,False,True,-15.69,False,False,
2026-07-31,BLUEDART,2026-07-30,5025.9,4922.9,5277.0,5359.77,False,True,-6.23,False,False,
2026-07-31,BLUESTARCO,2026-07-31,1681.2,1612.2,1721.1,1760.03,False,True,-4.48,False,False,
2026-07-31,BOSCHLTD,2026-07-30,41550.0,39705.0,42165.0,37043.75,True,False,12.16,False,False,
2026-07-31,BPCL,2026-07-31,319.75,312.85,321.3,328.08,False,True,-2.54,False,False,
2026-07-31,BRIGADE,2026-07-30,565.1,526.15,570.0,592.06,False,True,-4.55,False,False,
2026-07-31,BRITANNIA,2026-07-30,5434.0,5255.47,5490.56,5618.85,False,True,-3.29,False,False,
2026-07-31,BSE,2026-07-31,3646.2,3451.1,3652.5,3115.79,True,False,17.02,False,False,
2026-07-31,BSOFT,2026-07-31,302.4,284.05,322.65,361.18,False,True,-16.27,False,False,
2026-07-31,CAMPUS,2026-07-30,218.85,214.53,225.26,250.66,False,True,-12.69,False,False,
2026-07-31,CAMS,2026-07-31,796.15,762.0,807.6,741.06,True,True,7.43,False,False,
2026-07-31,CANBK,2026-07-31,124.98,123.66,129.7,134.9,False,True,-7.36,False,False,
2026-07-31,CANFINHOME,2026-07-30,816.3,808.0,838.95,860.26,False,True,-5.11,False,False,
2026-07-31,CAPLIPOINT,2026-07-31,2516.8,2470.0,2675.0,1963.64,True,False,28.17,False,False,
2026-07-31,CARBORUNIV,2026-07-31,1063.8,1040.72,1087.31,920.26,True,False,15.6,False,False,
2026-07-31,CASTROLIND,2026-07-30,184.82,183.61,185.9,183.91,True,True,0.49,False,False,
2026-07-31,CCL,2026-07-31,1155.3,1145.0,1215.0,1030.15,True,False,12.15,False,False,
2026-07-31,CDSL,2026-07-31,1333.0,1325.0,1361.3,1368.29,False,True,-2.58,False,False,
2026-07-31,CEATLTD,2026-07-30,3429.0,3320.21,3487.8,3606.49,False,True,-4.92,False,False,
2026-07-31,CENTRALBK,2026-07-31,30.97,30.85,31.61,35.11,False,True,-11.79,False,False,
